cell_type,tf,score,padj
CD8T,TFCP2L1,1.1632573323532691,0.2525070153246749
CD8T,TFDP2,9.068447857601004,1.1168585444852587e-18
CD8T,TFEB,5.426801786031633,1.4893961909866296e-07
CD8T,TGIF1,1.9845271123794377,0.05493560535767738
CD8T,TGIF2,-5.04565362278095,1.062005543377461e-06
CD8T,THRA,-2.582085228164406,0.012825111537926448
CD8T,VEZF1,3.7638276968637343,0.00028243801501643637
CD8T,XBP1,11.230635451670265,7.915122742519661e-28
CD8T,YBX1,1.12410354097683,0.26805607801179326
CD8T,YBX3,-7.108766309423738,5.290559555486129e-12
CD8T,YY1,5.7649276478391815,2.4179068104846856e-08
CD8T,ZBED5,-6.0651424162593095,4.28824258758519e-09
CD8T,ZBTB1,5.204037437338531,4.7077953751382194e-07
CD8T,ZBTB10,-6.158668176647453,2.4658968332578766e-09
CD8T,ZBTB18,-5.7126538827192075,3.134717928793547e-08
CD8T,ZBTB20,-8.138214282364421,2.5672040847435895e-15
CD8T,ZBTB25,-8.442562822813942,2.329421319895054e-16
CD8T,ZBTB43,3.071648353958513,0.0031083366972916625
CD8T,ZBTB44,5.628993724355275,4.916969314436376e-08
CD8T,ZBTB49,2.7081995887284123,0.009099909018105421
CD8T,ZBTB7A,8.484341880857151,1.6770211750439214e-16
CD8T,ZBTB7B,3.89037357421447,0.0001797300886467722
CD8T,ZC3H8,-3.169470154628687,0.0023048967717773723
CD8T,ZEB1,-11.545536051524525,2.9413921381730895e-29
CD8T,ZEB2,28.152390736427545,4.278822738437189e-152
CD8T,ZFP14,-3.763927512884299,0.00028243801501643637
CD8T,ZFP62,-3.1042390300655645,0.0028041462822887423
CD8T,ZIK1,-2.1815809238212522,0.035373421310252694
CD8T,ZKSCAN1,-4.2572224145055655,3.930929322326296e-05
CD8T,ZNF10,-13.01420992981838,1.1633367559302147e-36
CD8T,ZNF101,-6.593159169875382,1.6544939526396794e-10
CD8T,ZNF135,-5.398214133052374,1.7264888257876292e-07
CD8T,ZNF138,-3.0214143609637265,0.0036036467967172896
CD8T,ZNF148,-4.547456425993867,1.1023004775581812e-05
CD8T,ZNF207,5.093789270442802,8.345792172215072e-07
CD8T,ZNF217,-2.9032009732912996,0.00518814872064552
CD8T,ZNF24,-5.8838213736347695,1.2249983866799168e-08
CD8T,ZNF274,-7.842677545622758,2.4906335200560686e-14
CD8T,ZNF276,5.909274212286362,1.0775684679833868e-08
CD8T,ZNF296,1.8794382263953744,0.06698459185044404
CD8T,ZNF302,-2.8300652227216,0.006415741658321164
CD8T,ZNF331,-18.024375217309668,1.3379868883869602e-67
CD8T,ZNF335,4.071063648982097,8.704847402569001e-05
CD8T,ZNF33B,-3.2440187682902017,0.0018157924820574021
CD8T,ZNF394,1.7283281452264918,0.09117242534027944
CD8T,ZNF397,-1.5856368689733051,0.12137562715754983
CD8T,ZNF414,-5.367079386718544,2.0281518825993218e-07
CD8T,ZNF511,2.4322667693081814,0.01922772085902387
CD8T,ZNF512,-3.7886560095405173,0.0002614243484522406
CD8T,ZNF550,-3.858617801002294,0.00020154506756437938
CD8T,ZNF580,-3.118580090446404,0.002705895546941333
CD8T,ZNF584,-1.7650620322179689,0.08505607806238205
CD8T,ZNF600,11.232594751309774,7.915122742519661e-28
CD8T,ZNF609,-11.804264972252929,1.7355808699973764e-30
CD8T,ZNF644,-2.650060007331081,0.010574783737915403
CD8T,ZNF655,2.040173208924146,0.04911167465694642
CD8T,ZNF667,-4.622035993097956,7.936094165335424e-06
CD8T,ZNF677,-4.944168997287799,1.7548956592984092e-06
CD8T,ZNF708,-2.421011250796761,0.019637423541366033
CD8T,ZNF717,-3.370716458226397,0.001196736788099008
CD8T,ZNF766,-4.780258464772181,3.8106990178635598e-06
CD8T,ZNF770,-4.358103653704255,2.5395784638979173e-05
CD8T,ZNF800,1.9451850792784924,0.05874680856313655
CD8T,ZNF83,-1.9523809731546684,0.05834709864715165
CD8T,ZNF891,-3.505128567468295,0.0007505603040659718
CD8T,ZSCAN18,-9.189311101798241,4.0446093145867284e-19
CD8T,ZSCAN9,2.145321700025104,0.038445781453275624
CD4T,AHR,5.603141971454125,1.196796389054833e-07
CD4T,AKNA,-2.099057688434065,0.058006557626977207
CD4T,ARHGAP35,4.001229004103119,0.00019682609772241226
CD4T,ARID2,-0.8341052157428587,0.47910801005900533
