dataset,cell_type,ctr,treatment,p_value,delta,test_type,p_value_type
parsebioscience,CD8T,PBS,IFN-omega,4.3564936587417756e-10,5.903922568118485,mixed-effect,corrected
parsebioscience,CD8T,PBS,IGF-1,0.6497249413252674,0.6516496849071539,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-1-alpha,0.0034451935977381875,2.9414408507787253,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-1-beta,1.2004496000418033e-13,7.286701510912052,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-10,2.515303500058256e-05,-4.172244269911847,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-11,0.4291835912002195,1.0653877201746957,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-12,0.9608225352635362,0.10951892224805304,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-13,0.8784424196211138,-0.36511804643884965,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-15,1.1159251541558006e-39,13.525205883387299,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-16,0.9450266620822486,-0.1680545944090608,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-17A,0.0004292777476295085,3.4311258562782787,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-17B,0.20729434534568575,1.5344281913388274,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-17C,0.3364902457974166,1.2292045798134534,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-17D,0.7889209651116741,0.44211291338325,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-17E,2.5998896519047446e-07,-4.793818173027973,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-17F,0.5208045932065923,-0.8916825697677566,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-18,0.005348867794277195,2.8712201917194826,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-19,0.08789824767710135,1.958385355981309,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-1Ra,0.000973953958976426,-3.318548883773739,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-20,0.28713737216383894,1.3713711196047222,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-21,0.9608225352635362,-0.10161075507286842,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-22,0.9875741660742329,-0.026833425555098916,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-23,0.09130725278811283,-1.8427284879976595,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-24,0.002005038738979811,-3.059679445685195,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-26,0.6064742690802778,0.7039434679628354,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-27,3.24575196488167e-06,4.372181608932888,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-2,1.3149902818281067e-29,10.49375880850155,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-31,0.9608225352635362,0.11164841682506595,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-32-beta,0.08075425945101913,2.2281806750529185,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-33,0.09451332990563457,1.9579589690031287,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-34,0.29655591354309907,-1.3187145895961199,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-35,0.7912437924782257,0.42651895711923676,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-36-alpha,0.2943498329774244,-1.3660248120101157,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-36Ra,0.7912437924782257,0.4225813329366956,mixed-effect,corrected
