cell_type,gene,clock_coef,signed_coef,pooled_rho
CD8T,PANK2,-0.0752996189572861,0.0752996189572861,0.2866661342652015
CD8T,PRNP,-0.06858049262455612,0.06858049262455612,0.2636000363729588
CD8T,TMX4,0.08893643367133154,0.08893643367133154,0.3443337105226132
CD8T,PLCB1,-0.045696093070456835,0.045696093070456835,0.1053770206697221
CD8T,BFSP1,-0.011238870496322391,0.011238870496322391,0.230829169758963
CD8T,DSTN,-0.001125271873328193,0.001125271873328193,0.3989684313685597
CD8T,SNX5,0.09970209196692492,0.09970209196692492,0.3805172131702061
CD8T,DTD1,-0.13872399585010317,0.13872399585010317,0.3736749433147565
CD8T,NAA20,0.2572306114950814,0.2572306114950814,0.2508387439162005
CD8T,RALGAPA2,0.1285139815881952,-0.1285139815881952,-0.1239911602118498
CD8T,NAPB,0.019090295586837704,0.019090295586837704,0.2137606387949208
CD8T,CST7,-0.008921291914913131,0.008921291914913131,0.4934445220135204
CD8T,APMAP,-0.00420642497564683,0.00420642497564683,0.4385192294442508
CD8T,PYGB,-0.014789259222523691,-0.014789259222523691,-0.1215431355089779
CD8T,ABHD12,0.011322263249867019,0.011322263249867019,0.2427073691213547
CD8T,HM13,-0.056678292303521186,0.056678292303521186,0.2298015595599493
CD8T,BCL2L1,0.06828868733692162,0.06828868733692162,0.2994028525629972
CD8T,COMMD7,-0.1542307259448797,0.1542307259448797,0.3004813668935667
CD8T,CHMP4B,-0.06977720258343888,0.06977720258343888,0.2502035142611842
CD8T,RALY,-0.034732902983378944,0.034732902983378944,0.370027195344134
CD8T,EIF2S2,0.07624002379037642,0.07624002379037642,0.1718546528517507
CD8T,AHCY,-0.014305868005969308,-0.014305868005969308,-0.2790302486766786
CD8T,ITCH,0.03934575133687719,0.03934575133687719,0.1588659577893583
CD8T,DYNLRB1,0.008119461922177792,0.008119461922177792,0.3602602414054918
CD8T,GGT7,-0.04435863417755401,-0.04435863417755401,-0.2019626398333802
CD8T,ACSS2,-0.0688311515048523,-0.0688311515048523,-0.240305496400209
CD8T,EDEM2,-0.1851465153220483,0.1851465153220483,0.1858967910229468
CD8T,MMP24OS,0.02587547278084748,0.02587547278084748,0.2730925178669204
CD8T,EIF6,-0.06501551466358096,0.06501551466358096,0.2919225861408969
CD8T,SCAND1,-0.028841240817257717,0.028841240817257717,0.2913971885037874
CD8T,TGIF2,-0.08836966615285959,-0.08836966615285959,-0.1886950077916731
CD8T,RAB5IF,-0.0290704213330032,0.0290704213330032,0.3274243358375892
CD8T,RPN2,-0.01045026683101472,0.01045026683101472,0.3399048613482687
CD8T,PLCG1,0.06065715693387889,-0.06065715693387889,-0.287032838533348
CD8T,SRSF6,-0.03257018523104825,-0.03257018523104825,-0.1202803974856396
CD8T,PKIG,0.10354419517061934,-0.10354419517061934,-0.3294781348562847
CD8T,ADA,-0.1476977595978046,0.1476977595978046,0.2104011375002906
