gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
POU2F1,7.952522798006186e-15,0.4202731197921854,313,1.342287766208923e-14,healthy,aging,abf300,CD8T
POU2F2,4.0779323321427734e-16,-0.43817725538165003,313,8.872471128920017e-16,healthy,aging,abf300,CD8T
PPARA,5.946387129165615e-19,0.47426973161650793,313,7.821676863989412e-18,healthy,aging,abf300,CD8T
PPARD,1.441629541251109e-16,-0.4442029114744618,313,3.6168106057516563e-16,healthy,aging,abf300,CD8T
PRDM1,3.0397684514932886e-18,0.4655944310043398,313,2.160273992251566e-17,healthy,aging,abf300,CD8T
PRDM2,0.016450199049425084,-0.1355027854878625,313,0.017288228057603345,healthy,aging,abf300,CD8T
PRDM4,1.1952654851203965e-17,0.4581684973839018,313,5.00154793392527e-17,healthy,aging,abf300,CD8T
PREB,4.401485525551033e-18,0.4636026468107243,313,2.6219286482521226e-17,healthy,aging,abf300,CD8T
PRMT3,1.8415526316305096e-05,-0.2395302524986496,313,2.089093311238683e-05,healthy,aging,abf300,CD8T
PURA,1.095805978670657e-07,0.29463334585269974,313,1.3069891437248399e-07,healthy,aging,abf300,CD8T
PURB,2.870312193015058e-14,0.4121955893183134,313,4.441009262526077e-14,healthy,aging,abf300,CD8T
RARA,0.230551409250312,-0.06796161053323381,313,0.23736993521704952,healthy,aging,abf300,CD8T
RBAK,2.192328872650504e-06,0.2639245197991894,313,2.544014962638177e-06,healthy,aging,abf300,CD8T
RBCK1,9.717903557918843e-18,0.45930179440444363,313,4.3776283699513324e-17,healthy,aging,abf300,CD8T
RBPJ,2.0998151045570665e-05,-0.237940309200228,313,2.3772297017038323e-05,healthy,aging,abf300,CD8T
RBSN,0.006978071225962193,0.15221314240232117,313,0.007375304882089073,healthy,aging,abf300,CD8T
REL,2.8041316378522857e-14,0.41234434678560383,313,4.362851299675204e-14,healthy,aging,abf300,CD8T
RELA,1.8182204846310024e-17,0.455859233437727,313,6.326198812121677e-17,healthy,aging,abf300,CD8T
RELB,2.974520464832394e-07,0.28480341326744407,313,3.5176388511923305e-07,healthy,aging,abf300,CD8T
