"gene","meta_p","meta_p_adj"
"SREBF2",1.48874414730807e-56,5.92463233696999e-56
"STAT1",5.18827943162159e-15,5.63327805733572e-15
"STAT2",8.09211833765745e-56,2.18801452139573e-55
"STAT3",4.98733748863879e-29,5.73955987845414e-29
"STAT4",3.69156218646807e-55,8.26124845284818e-55
"STAT5A",4.07522750992268e-52,6.08552740757892e-52
"STAT5B",3.06750981911202e-56,1.00506057014435e-55
"STAT6",4.72241135329021e-54,8.91655296197508e-54
"TBP",4.1397220981027e-48,5.43826700151699e-48
"TBPL1",6.33694345159067e-57,3.06928478481391e-56
"TBX21",1.32323890081677e-55,3.44413115773336e-55
"TCF12",3.5632664066812e-56,1.09051614753925e-55
"TCF20",5.03424504626959e-54,9.40964594218846e-54
"TCF7",2.06170376568143e-56,7.31445221327742e-56
"TCF7L2",3.208864180276e-57,2.0467173458183e-56
"TERF1",1.33818247654329e-54,2.73028439353338e-54
"TERF2",8.98054704331885e-55,1.88760932193532e-54
"TET2",1.01020425200788e-52,1.59400500954219e-52
"TFAP4",1.24676611151745e-59,3.44206938125719e-58
"TFCP2",3.19615769526964e-54,6.18145776480969e-54
"TFDP1",1.22481595870039e-56,5.11103542633942e-56
"TFDP2",9.95637750347228e-53,1.57548359927104e-52
"TFE3",6.4524028670943e-53,1.04467424503674e-52
"TFEB",1.84975176685752e-53,3.15080041021296e-53
"TGIF1",9.04785089620723e-59,1.57489154662107e-57
"TGIF2",5.76045734204018e-54,1.06597167425793e-53
"THAP1",5.18597504292609e-56,1.5044729681822e-55
"THAP11",2.82887672261104e-53,4.71761776794716e-53
"THAP12",1.48913559636589e-56,5.92463233696999e-56
"THAP4",1.87097885462819e-52,2.85516499185726e-52
"THAP5",0.000467150822836254,0.000476562286299988
"THAP6",1.20152783581465e-20,1.33316933177044e-20
"THAP7",9.91173801080009e-52,1.45285212421465e-51
"THRA",6.85732414627922e-37,8.16138792623403e-37
"THYN1",4.64866556192384e-58,4.88548437356902e-57
"TIGD1",9.05146319837307e-52,1.33025461780839e-51
"TMF1",4.91130502335274e-53,8.04587322943375e-53
"TOPORS",5.55721258697303e-54,1.03178913698133e-53
"TP53",2.82950128134245e-50,3.92047814355161e-50
"TRAFD1",6.70427786496284e-57,3.16963668256451e-56
"TRERF1",5.31019687516878e-57,2.81693300901811e-56
"TRPS1",3.14072837510751e-57,2.03416942434289e-56
"TSC22D1",1.68726164712166e-56,6.46782229637875e-56
"TSHZ1",3.50873843488641e-57,2.12677142581252e-56
"TSHZ2",6.47354942268671e-58,6.11146953972287e-57
"TTF1",1.52935752822719e-52,2.35318271608437e-52
"UBP1",1.08331179391834e-52,1.69973146257046e-52
"USF1",8.49842397368085e-46,1.07827383902967e-45
"USF2",2.12155515997319e-56,7.43211461701299e-56
"USF3",1.58071060655949e-56,6.15703362135409e-56
"VEZF1",6.91602655847392e-57,3.19394373446189e-56
"XBP1",3.2335929341474e-57,2.0467173458183e-56
"XPA",4.19161427214257e-47,5.42960267344979e-47
"YBX1",6.71484970453523e-57,3.16963668256451e-56
"YBX3",5.95073953826638e-56,1.69110302184407e-55
"YY1",7.82980232180853e-55,1.65196965653309e-54
"ZBED1",3.97187969307829e-54,7.60253260840072e-54
"ZBED3",3.12077094313586e-59,7.2427892305278e-58
"ZBED4",8.14494549734622e-57,3.62938771361747e-56
"ZBED5",6.30369812812477e-57,3.06928478481391e-56
"ZBED6",1.66006182707599e-22,1.8567358186372e-22
"ZBTB1",4.74552075530239e-29,5.47257776543153e-29
"ZBTB10",2.18094078477199e-44,2.71157146678124e-44
"ZBTB11",3.44750923641459e-56,1.07277242719717e-55
"ZBTB16",3.71313398265689e-41,4.50591640161195e-41
"ZBTB17",2.02027650379632e-51,2.915269462732e-51
"ZBTB18",1.1129839612164e-59,3.44206938125719e-58
"ZBTB2",1.86694065187649e-56,6.88666187480269e-56
"ZBTB20",7.52830255129468e-54,1.3748408265807e-53
"ZBTB21",0.113461655644067,0.113665723370046
"ZBTB24",1.4166608783868e-10,1.50015229897613e-10
"ZBTB25",2.21534704464856e-55,5.31874268909159e-55
"ZBTB33",1.71428372260719e-54,3.4347339334252e-54
"ZBTB37",2.21106606156248e-57,1.5204491312226e-56
"ZBTB38",3.92060988990086e-58,4.46545747337524e-57
"ZBTB4",3.12820251855609e-49,4.19857542851986e-49
"ZBTB40",1.04034045337917e-18,1.14746461887564e-18
"ZBTB43",2.11474741507136e-57,1.47239288774343e-56
"ZBTB44",3.27080459187506e-53,5.42213737403099e-53
"ZBTB49",4.13931191300903e-58,4.52981634216618e-57
"ZBTB7A",3.25979984213754e-55,7.44142832815824e-55
"ZBTB7B",9.53125804113473e-57,4.14758650696253e-56
"ZC3H8",1.51921625428417e-54,3.07710346776831e-54
"ZEB1",1.08242728422922e-53,1.92623641314912e-53
"ZEB2",4.09418285702116e-55,9.01367530182129e-55
"ZFP14",4.61817968029845e-54,8.74940844192597e-54
"ZFP62",2.58335365130076e-52,3.91013039069164e-52
"ZFP90",7.11046970833116e-53,1.13808380101737e-52
"ZFP91",5.04361729230219e-55,1.09738079367669e-54
"ZFX",2.4383020570873e-56,8.23111664119773e-56
"ZGPAT",1.28215999544434e-56,5.29009716638887e-56
"ZHX1",2.00099374322527e-56,7.14457381395178e-56
"ZHX2",3.9058313861603e-05,4.02134580793214e-05
"ZKSCAN1",3.11233370801009e-46,3.96697911982064e-46
"ZKSCAN8",0.15302368968094,0.15302368968094
"ZMAT1",3.30584316282387e-57,2.06763406115735e-56
"ZNF10",3.85212602525145e-58,4.46545747337524e-57
"ZNF100",1.18950744556583e-49,1.62790085302253e-49
"ZNF101",5.40714074156766e-58,5.28381998781261e-57
"ZNF107",2.51150683039104e-47,3.28382465851599e-47
"ZNF12",1.67109237838616e-40,2.01908558516506e-40
"ZNF121",7.14018487898268e-15,7.73751552060964e-15
"ZNF124",1.34459977347072e-08,1.41043705051449e-08
"ZNF131",2.81540603337821e-15,3.06884767239073e-15
"ZNF134",3.80771529099067e-51,5.43819850533796e-51
"ZNF138",9.539201390424e-53,1.51377070497612e-52
"ZNF14",1.10153905701072e-53,1.94780080874594e-53
"ZNF141",4.85431691870665e-56,1.42308132827348e-55
"ZNF142",1.76715411430887e-57,1.27831797619486e-56
