"gene","meta_p","meta_p_adj"
"ZNF319",3.6656648088192e-58,4.43864195328759e-57
"ZNF32",7.85159314210043e-52,1.1631216436569e-51
"ZNF326",2.30635860037909e-43,2.84842957962561e-43
"ZNF331",3.09868349875691e-55,7.10274365764445e-55
"ZNF333",1.11762192427442e-52,1.74374064935813e-52
"ZNF335",6.9383696924576e-57,3.19394373446189e-56
"ZNF33A",8.72355123871003e-05,8.94846784523294e-05
"ZNF33B",9.65154298351834e-51,1.35755288934841e-50
"ZNF350",8.30214082987072e-56,2.23395770156425e-55
"ZNF354A",1.01411072218108e-52,1.5956487916804e-52
"ZNF362",7.4223261361758e-56,2.04665131576729e-55
"ZNF37A",0.0337879615526523,0.0341558885387066
"ZNF384",1.49020617038524e-53,2.56979825667053e-53
"ZNF394",1.04697165375826e-24,1.18529107955965e-24
"ZNF397",1.2995684454556e-53,2.26206132537115e-53
"ZNF407",1.14984972138169e-53,2.02679207218229e-53
"ZNF410",1.34644570694752e-56,5.51448719683653e-56
"ZNF414",3.15345597887686e-58,3.99198859144184e-57
"ZNF428",1.79959179890775e-55,4.51519203599827e-55
"ZNF429",4.89226893730781e-51,6.93382645821998e-51
"ZNF43",3.46625033775396e-50,4.77896395576474e-50
"ZNF430",5.47988081885605e-21,6.09240242735094e-21
"ZNF431",5.61857060803333e-23,6.29686887057257e-23
"ZNF439",3.82302027973088e-60,1.93583845073645e-58
"ZNF44",1.11490543889505e-50,1.56030736046368e-50
"ZNF451",3.17117068177703e-49,4.24601459074472e-49
"ZNF460",2.89199279398326e-15,3.14617184814195e-15
"ZNF468",2.16272305345248e-55,5.23755104683928e-55
"ZNF480",7.16758981211553e-54,1.31327221228564e-53
"ZNF483",1.0413702853262e-37,1.24472800198861e-37
"ZNF487",3.00032341049803e-56,9.94750083123454e-56
"ZNF490",2.10117824688363e-55,5.13314159436045e-55
"ZNF493",1.6115004094772e-45,2.03538713850068e-45
"ZNF496",1.2977281329695e-59,3.44206938125719e-58
"ZNF506",1.60884553514353e-55,4.12961734135921e-55
"ZNF507",0.0365672501528712,0.0368984752448356
"ZNF511",1.55400052178253e-56,6.0956217650202e-56
"ZNF512",1.84527731938293e-51,2.66966095297738e-51
