gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
SETDB1,0.032768938179305054,0.08561680012096366,622,0.049065121497124865,healthy,aging,aida,MONO
SETDB2,0.0005697915785989357,0.1377737735082314,622,0.0013733911575290118,healthy,aging,aida,MONO
SKI,0.8485973659513455,0.0076700448439700085,622,0.8728430049785268,healthy,aging,aida,MONO
SKIL,0.0015818184658467514,0.1264196558295983,622,0.0034382167408593543,healthy,aging,aida,MONO
SLC2A4RG,0.001310605098925691,-0.12857891834183294,622,0.0028813302938213666,healthy,aging,aida,MONO
SMAD3,0.4400477670337012,-0.031013829843428785,622,0.4931274587770659,healthy,aging,aida,MONO
SMAD4,0.0856720937678667,0.06896956981458696,622,0.11293699816037207,healthy,aging,aida,MONO
SMAD5,0.1385040926144633,0.05946515824893998,622,0.1715663598837223,healthy,aging,aida,MONO
SMYD3,6.573450111200246e-05,0.15933038223862606,622,0.00019927932968691269,healthy,aging,aida,MONO
SNAI1,0.4957874752958179,0.027360859807078704,622,0.5439496871816973,healthy,aging,aida,MONO
SNAPC2,2.2889543612674453e-15,0.31048571694086535,622,4.1200998502814016e-14,healthy,aging,aida,MONO
SNAPC5,1.1211835221441157e-14,0.30302989979112993,622,1.6559003403974633e-13,healthy,aging,aida,MONO
SON,4.031461505953635e-07,0.20150440493560076,622,1.935101522857697e-06,healthy,aging,aida,MONO
SOX4,7.170172880303682e-08,-0.2139182874879484,622,3.8240922028280966e-07,healthy,aging,aida,MONO
SP1,0.8235765927685935,-0.008957206840555258,622,0.8501435796320965,healthy,aging,aida,MONO
SP100,5.266943142120376e-08,0.21605866883071795,622,2.889294523676915e-07,healthy,aging,aida,MONO
SP110,1.0194540317444835e-14,0.3034822995953012,622,1.5946467561681058e-13,healthy,aging,aida,MONO
SP140,5.696991068014055e-12,0.27148779627627384,622,5.12729195221265e-11,healthy,aging,aida,MONO
SP140L,3.2042428796812386e-12,0.27457448088126957,622,2.929593480851418e-11,healthy,aging,aida,MONO
SP2,0.03006936377508162,0.0869860715097273,622,0.0456990858428681,healthy,aging,aida,MONO
SP3,0.08730387766959347,0.0686137208783144,622,0.11481057885316402,healthy,aging,aida,MONO
SP4,1.5189025051338402e-05,0.17249906261178258,622,5.302350563376312e-05,healthy,aging,aida,MONO
SPEN,0.02970157917062772,0.08718069471360582,622,0.0452595492123851,healthy,aging,aida,MONO
SPI1,1.876728941328047e-14,0.30056591964698653,622,2.513942544662686e-13,healthy,aging,aida,MONO
SRCAP,0.1557695685179579,0.05698289554572406,622,0.19009167683547404,healthy,aging,aida,MONO
SREBF1,0.042323561635028074,0.08143715270756645,622,0.060397373095043026,healthy,aging,aida,MONO
SREBF2,0.13600630254169024,0.059843604727531384,622,0.1688354100517534,healthy,aging,aida,MONO
SRF,0.09120018480374467,0.06778519421082285,622,0.118313753258912,healthy,aging,aida,MONO
STAT1,0.1538066318350715,0.057254215706148325,622,0.18894581225154017,healthy,aging,aida,MONO
