"gene","meta_p","meta_p_adj"
"NFE2L2",9.18640948229899e-11,2.47030075846463e-10
"NFIC",8.05260906542264e-12,5.78159235146637e-11
"NFKB1",2.15838929880586e-10,4.43793329908345e-10
"NFKB2",9.9715379995185e-10,1.49573069992778e-09
"NFX1",3.60716332157185e-09,4.92516530445388e-09
"NFXL1",5.61565163599786e-11,1.7676854164545e-10
"NFYA",1.08161519560684e-10,2.77571128511154e-10
"NFYB",3.51587560191823e-11,1.36904775136185e-10
"NFYC",4.58124692381299e-10,7.91193725490946e-10
"NKRF",5.74017918029559e-06,6.37908608036327e-06
"NME2",2.68861574364307e-06,3.01407975471565e-06
"NR1D2",3.6885335954168e-10,6.65811572732016e-10
"NR1H2",3.25787580166983e-11,1.33447604953014e-10
"NR2C1",3.8835062003688e-11,1.44276771048585e-10
"NR2C2",5.87743344975354e-10,9.6299486522885e-10
"NR3C1",2.43050865652084e-11,1.159026142923e-10
"NR3C2",2.83845302266094e-10,5.3331016842737e-10
"NR4A1",2.03271425007511e-05,2.22415137979109e-05
"NR4A2",3.88031992979449e-09,5.27558390455038e-09
"NR4A3",5.60315579650201e-10,9.2517223616661e-10
"NRF1",1.50527345769049e-09,2.20107491868244e-09
"PA2G4",2.09228262472365e-06,2.3538179528141e-06
"PATZ1",4.86878551061311e-12,4.26185471408463e-11
"PAX5",4.41396283227762e-11,1.54126898897563e-10
"PBX2",3.32410580201332e-11,1.34303259873853e-10
"PBX3",1.30974998288328e-10,3.09974162615709e-10
"PBX4",0.612081564464005,0.612081564464005
"PHF1",9.23006190322646e-12,6.27447825123586e-11
"PHF19",7.21015957331294e-09,9.34541981206281e-09
"PHF20",3.5636106140668e-13,7.29342087607853e-12
"PHF21A",5.48011885562053e-10,9.11926028318104e-10
"PIN1",4.73840583668109e-08,5.76731681836041e-08
"PKNOX1",3.4385830098527e-11,1.36475437471793e-10
"PLAG1",0.526951967382944,0.527777910905488
"PLAGL1",2.84543205889621e-10,5.3331016842737e-10
"PLSCR1",1.03198379955642e-10,2.68064084518923e-10
"POGK",3.62468862749630e-10,6.5800455482106e-10
"POU2AF1",0.141769411671255,0.143113197563873
"POU2F1",4.83413192876323e-10,8.25938583550722e-10
"POU2F2",3.45550969545185e-09,4.76905117795622e-09
"PPARA",0.00135448558792307,0.00142354653072836
"PRDM1",2.65360918035981e-10,5.12282859894235e-10
"PRDM10",1.69936757805005e-11,9.52540247696477e-11
"PRDM15",6.12670148391112e-09,8.02246362340001e-09
"PRDM2",1.99126292238709e-10,4.19939606404407e-10
"PRDM4",1.24052592214057e-08,1.56969517672837e-08
"PRDM8",0.00231112956115652,0.00240523092765312
"PREB",4.11887120781251e-10,7.23065577415437e-10
"PRMT3",4.03559942311474e-11,1.46519774509677e-10
"PRR12",1.17107594087503e-09,1.7402733167887e-09
"PURA",1.55520103539226e-08,1.94476215580362e-08
"PURB",1.33002312884353e-10,3.12340701573405e-10
"RARA",9.76589566367540e-09,1.25058263107988e-08
"RBAK",1.26995436566847e-10,3.05075503632388e-10
"RBCK1",2.58365029398841e-06,2.90149830906607e-06
"RBPJ",7.95449867730454e-11,2.28960570035928e-10
"RBSN",2.57116807779034e-11,1.19056260993335e-10
"REL",1.23874292139818e-10,3.03697198449226e-10
"RELA",5.15035030552647e-10,8.68357215100637e-10
"RELB",5.23672862214147e-09,6.91378014369504e-09
"REPIN1",7.34934592806328e-10,1.16328088390337e-09
"REST",1.53067398417703e-10,3.40801629229659e-10
"REXO4",9.97783414415701e-11,2.62380083050055e-10
"RFX1",9.49751490699003e-08,1.14507774067295e-07
"RFX3",1.31285794609221e-09,1.9374508719467e-09
"RFX5",8.62316253989790e-11,2.36489307424668e-10
"RFX7",5.00802670018193e-10,8.49801120306282e-10
"RLF",3.12228924470047e-10,5.77874287476784e-10
"RORA",0.0168430431782734,0.0172479240239049
"RREB1",4.30800014929803e-09,5.78321868781815e-09
"RUNX1",2.32380401504571e-10,4.65094736254528e-10
"RUNX2",0.0056846136086336,0.00586828448451837
"RUNX3",0.00202131379947966,0.00211394356443127
"RXRB",3.71820875667142e-11,1.40872815131875e-10
"SAFB",5.5592950697843e-10,9.20308173469473e-10
"SAFB2",5.45071576716755e-10,9.09401403451714e-10
"SATB1",2.29862484782217e-08,2.84104695891366e-08
"SCML4",3.22176069135273e-06,3.59913475834684e-06
"SETBP1",3.64900911489285e-05,3.9455047077819e-05
"SETDB1",2.02956258284234e-10,4.26608713959295e-10
"SETDB2",1.49040596698307e-10,3.36526294311726e-10
"SGSM2",1.00013167488273e-08,1.27816828050013e-08
"SKI",2.19182201960867e-10,4.46018274198498e-10
"SKIL",2.75191507738279e-15,1.95385970494178e-13
"SLC2A4RG",1.97160187564973e-06,2.22196401858937e-06
"SMAD3",2.42351800276639e-12,2.5795360154886e-11
"SMAD4",2.5875814088735e-10,5.01049854627324e-10
"SMAD5",4.30113990299081e-10,7.50480807372942e-10
"SMYD3",1.85836971821795e-07,2.19095618070345e-07
"SNAPC2",4.47550709876836e-10,7.75026839055008e-10
"SNAPC5",4.68419559695854e-11,1.60924784218092e-10
"SON",9.56145291454641e-09,1.22932966044168e-08
"SOX4",7.36494178757734e-08,8.91325341337485e-08
"SP1",6.55467521211399e-10,1.06002108066043e-09
"SP100",1.98523159759595e-13,4.65550124325114e-12
"SP110",1.09539583397098e-08,1.394338521728e-08
"SP140",0.0074682655983134,0.00769713180213268
"SP140L",7.56999333247137e-14,2.4186128697246e-12
"SP2",1.79370881212456e-12,2.18080652163732e-11
"SP3",2.82086542792591e-10,5.33293789480667e-10
"SP4",1.54335918364272e-09,2.24648409646401e-09
"SPEN",1.35985822111093e-09,1.99861279585014e-09
"SPI1",2.79195055689363e-05,3.02895824423605e-05
"SPIB",0.0150207885640088,0.015406555204497
"SRCAP",3.00792142272916e-10,5.5873889218719e-10
"SREBF2",1.14853999171613e-07,1.37437650694121e-07
"STAT1",1.25010416962008e-07,1.49032941117021e-07
"STAT2",2.95153092307991e-10,5.49862466428007e-10
"STAT3",2.87858595831845e-10,5.37841060633184e-10
"STAT4",2.43750618255492e-08,3.00688503986987e-08
"STAT5A",7.86490405079766e-10,1.23785066218219e-09
"STAT5B",6.07739550593138e-07,6.99721752845072e-07
"STAT6",1.19885661310733e-09,1.77742314565101e-09
"TBP",2.6565606911512e-11,1.20222797717569e-10
"TBPL1",3.85939207198764e-12,3.6266934323531e-11
"TBX21",1.07308003611053e-09,1.60585045216541e-09
"TCF12",5.1593791051497e-09,6.8399237514329e-09
"TCF20",8.29743616237328e-11,2.32546566129672e-10
"TCF3",3.16075363413846e-09,4.38117477703791e-09
"TCF4",0.000197699936502583,0.000211254614423329
"TCF7",0.426445038994316,0.429131306956485
"TERF1",3.46464742096888e-11,1.36661092715995e-10
"TERF2",0.00175092364145478,0.00183717603758555
"TET2",1.46244211419648e-06,1.65985881167239e-06
"TET3",1.10831371238551e-08,1.40797706205634e-08
"TFAP4",0.0241179057980385,0.0246187568769115
"TFCP2",8.54329786068273e-10,1.32242885852707e-09
"TFDP1",0.00225503988750536,0.00235068595124947
"TFDP2",3.66951220377404e-11,1.40408281330037e-10
"TFE3",6.66848534203663e-12,5.27306773574344e-11
"TFEB",2.10867427726791e-05,2.30332113363111e-05
"TFEC",0.0221443632290131,0.022640396965343
"TGIF1",6.69958745539138e-15,3.56753031999591e-13
"TGIF2",7.0283714485421e-11,2.12594958944312e-10
"THAP1",2.95292802747803e-11,1.29241165038251e-10
"THAP11",1.01222321870553e-07,1.21580946758052e-07
"THAP12",1.13086955722606e-10,2.8675620915375e-10
"THAP3",1.69677964410885e-05,1.86295909378962e-05
"THAP4",8.90525061856136e-10,1.36461754082991e-09
"THAP5",3.50748233816387e-11,1.36904775136185e-10
"THAP6",5.01597297973541e-11,1.68695091265838e-10
"THAP7",7.08169579401692e-11,2.12594958944312e-10
"THRA",6.53130920617023e-13,1.15930738409522e-11
"THYN1",2.05908479603569e-07,2.4186676188728e-07
"TMF1",4.01999395436992e-11,1.46519774509677e-10
"TOPORS",1.18286733335485e-11,7.26780986551682e-11
"TP53",3.86024272232679e-09,5.25947782423629e-09
"TRAFD1",1.46265456704369e-08,1.8326201340018e-08
"TRERF1",0.454431564274232,0.456575109388733
"TRPS1",3.05658945934435e-11,1.30334101301288e-10
"TSC22D1",1.07315632963261e-08,1.36875627671705e-08
"TSHZ2",0.00374495656724782,0.00388478449102493
"TTF1",7.27126510571866e-12,5.4662804735932e-11
"UBP1",2.52439501286916e-09,3.54524925983163e-09
"USF1",3.99329433062657e-10,7.02951811920214e-10
"USF2",9.59364759323793e-12,6.36971240162983e-11
"USF3",1.07677118141666e-11,6.81244341510145e-11
"VEZF1",7.57432935712084e-12,5.5877567035912e-11
"XBP1",1.35656898326365e-08,1.70639287461708e-08
"XPA",5.48321732039953e-11,1.76069139082176e-10
"YBX1",9.44943416583143e-10,1.42410104527507e-09
"YBX3",0.000310415623483811,0.000329494324594943
"YY1",8.32892068567636e-09,1.0773644368719e-08
"ZBED1",2.46246787081072e-12,2.5795360154886e-11
"ZBED4",1.01985917691522e-07,1.22268295318729e-07
"ZBED5",8.56102679815812e-11,2.36489307424668e-10
"ZBED6",3.25710141501412e-11,1.33447604953014e-10
"ZBTB1",1.46300785311262e-10,3.32739006476848e-10
"ZBTB10",2.21040555566432e-13,4.87051431058448e-12
"ZBTB11",6.61926892969642e-10,1.06541885291587e-09
"ZBTB16",1.57929778957665e-06,1.78614387175129e-06
"ZBTB17",4.32201779519941e-10,7.50480807372942e-10
"ZBTB18",5.3912319630523e-11,1.74872955552813e-10
"ZBTB2",5.93515324642973e-11,1.85003069486273e-10
"ZBTB20",1.4961869801157e-06,1.69514801470556e-06
"ZBTB21",1.4209772319157e-12,1.89167593998778e-11
"ZBTB24",3.5717638676585e-11,1.37491392255047e-10
"ZBTB25",8.34462633068766e-10,1.30054054275839e-09
"ZBTB33",5.30121164223523e-11,1.73716627660939e-10
"ZBTB37",7.03474455196649e-11,2.12594958944312e-10
"ZBTB38",0.161475369326583,0.162748834384364
"ZBTB4",7.64098601996387e-11,2.23039012913805e-10
"ZBTB40",7.35470230198686e-10,1.16328088390337e-09
"ZBTB41",1.09063925255718e-10,2.77656765890055e-10
"ZBTB43",2.69043193640257e-11,1.20222797717569e-10
"ZBTB44",2.74890282862163e-09,3.82690393788501e-09
"ZBTB48",1.71117233562648e-09,2.46825987012488e-09
"ZBTB5",1.4049594003616e-11,8.31267645213949e-11
"ZBTB7A",0.0125582219584465,0.0129014531052207
"ZBTB7B",3.0107468251073e-09,4.18232004618166e-09
"ZC3H8",5.98785559675761e-10,9.7857793512228e-10
"ZEB1",1.20546866387383e-10,2.98563750471076e-10
"ZEB2",2.30181440390772e-12,2.49298204084243e-11
"ZFAT",8.52400599138881e-10,1.32242885852707e-09
"ZFHX3",0.00385213559270667,0.00398948888774645
"ZFP14",5.35246680736708e-11,1.74501341321814e-10
"ZFP62",8.58550253081116e-11,2.36489307424668e-10
"ZFP64",2.08211023655283e-08,2.58343386632477e-08
"ZFP82",7.32132884232661e-10,1.16328088390337e-09
"ZFP90",7.93126947728213e-10,1.24217676372139e-09
"ZFP91",5.30754337180126e-10,8.92505319626581e-10
"ZFX",2.68187900245168e-11,1.20222797717569e-10
"ZFY",3.52529202697181e-07,4.08831507302175e-07
"ZGPAT",1.33441332597088e-10,3.12340701573405e-10
"ZHX1",5.57053395637017e-11,1.7676854164545e-10
"ZHX2",5.39662702594929e-10,9.02734206696754e-10
"ZKSCAN1",1.37492377453242e-09,2.01508323836288e-09
"ZKSCAN5",3.11896783523909e-11,1.31988109054158e-10
"ZKSCAN8",4.31322855191293e-10,7.50480807372942e-10
"ZMAT1",1.02682008332476e-10,2.68064084518923e-10
"ZNF10",3.18347252455054e-14,1.36553912896844e-12
"ZNF100",4.82908938205659e-11,1.65015407226426e-10
"ZNF101",1.59269479046506e-11,9.13317411984197e-11
"ZNF107",9.90809256433401e-12,6.46048076388717e-11
