gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
BACH1,0.0004070931775116162,0.14167044781438873,619,0.0006135475746782217,healthy,aging,aida,NK
BACH2,5.015271323889585e-06,-0.18227799996014485,619,1.004641375956361e-05,healthy,aging,aida,NK
BATF,0.015219848936462657,0.09751809136981453,619,0.019502357038017937,healthy,aging,aida,NK
BAZ2A,0.15616732327079896,0.05706635118242231,619,0.18105112752823396,healthy,aging,aida,NK
BAZ2B,0.032434190211291083,-0.08598891748393805,619,0.04009930156981886,healthy,aging,aida,NK
BBX,0.0025627210808438607,0.12101550645967916,619,0.0035112607016756794,healthy,aging,aida,NK
BCL11B,1.2507490524150323e-12,0.28018996128610285,619,1.583448287697431e-10,healthy,aging,aida,NK
BCL6,0.8764653138570396,0.006260720359167609,619,0.8934018416610404,healthy,aging,aida,NK
BHLHE40,0.7693415612220857,0.011809620227047296,619,0.8009756714697044,healthy,aging,aida,NK
BPTF,0.43543928535698595,0.03140328399560991,619,0.478529631303771,healthy,aging,aida,NK
BRF2,2.7455631715079234e-05,0.167699067013312,619,4.881858111136278e-05,healthy,aging,aida,NK
CAMTA1,1.1726472794649283e-07,0.210958408615147,619,5.457983293391443e-07,healthy,aging,aida,NK
CAMTA2,1.2105668018143343e-07,0.21073204220820124,619,5.552817286582683e-07,healthy,aging,aida,NK
CARF,7.067104100519912e-07,0.1977671814582837,619,1.8955410574699329e-06,healthy,aging,aida,NK
CASZ1,1.5158378681164707e-07,0.20912530888864916,619,6.388772100982124e-07,healthy,aging,aida,NK
CC2D1A,4.1994144737193535e-09,0.23338457536824014,619,5.7197049944224166e-08,healthy,aging,aida,NK
CDC5L,4.2764812784904096e-10,0.2475355252324272,619,1.943212043257383e-08,healthy,aging,aida,NK
CEBPB,0.1753071200148734,0.054545674566408915,619,0.20176255812620883,healthy,aging,aida,NK
CEBPD,0.12680469935237318,-0.06143445098902874,619,0.14809478725101885,healthy,aging,aida,NK
CEBPG,2.3341414054289766e-09,0.23710915685598416,619,4.179546296171859e-08,healthy,aging,aida,NK
CEBPZ,0.29112269340198127,0.04249736367974034,619,0.3255842136456787,healthy,aging,aida,NK
CENPT,5.2176077940382205e-09,0.23199168175116894,619,6.605491467239728e-08,healthy,aging,aida,NK
CENPX,0.0007428304058461996,0.13523291112371413,619,0.001088452886344084,healthy,aging,aida,NK
CGGBP1,7.900854101069137e-06,0.17849488459881047,619,1.5155274684778051e-05,healthy,aging,aida,NK
CHAMP1,7.566394077793794e-07,0.19724812037691264,619,1.995636438018087e-06,healthy,aging,aida,NK
CHCHD3,4.3517470263955494e-08,0.21788759947621203,619,2.674423172531796e-07,healthy,aging,aida,NK
CIC,5.353777753583807e-07,0.1998642277051219,619,1.4929256907570428e-06,healthy,aging,aida,NK
CLOCK,1.106945533288024e-05,0.17563611349461422,619,2.073066634826386e-05,healthy,aging,aida,NK
CREB1,4.938761698004438e-07,0.2004694826358007,619,1.4018996210030253e-06,healthy,aging,aida,NK
CREB3,1.4178547182504348e-09,0.24022223271405385,619,3.7395918193591464e-08,healthy,aging,aida,NK
CREB3L2,3.523208301023026e-08,0.21933462364045558,619,2.3725434622839817e-07,healthy,aging,aida,NK
CREBL2,0.005343539079862577,0.11183573497604202,619,0.007135992062348126,healthy,aging,aida,NK
CREBZF,8.670554387380858e-08,0.2130935664113268,619,4.324001776407416e-07,healthy,aging,aida,NK
CREM,0.76699011857758,0.01193357133506522,619,0.7998430725858454,healthy,aging,aida,NK
CSRNP1,0.9739596435369894,-0.0013146713069684122,619,0.9755007189223328,healthy,aging,aida,NK
CTCF,1.1908016700460366e-08,0.2266145116135893,619,1.177777276778919e-07,healthy,aging,aida,NK
CUX1,0.009914481621676088,0.10358106694375305,619,0.012966667079588767,healthy,aging,aida,NK
CXXC1,3.241750394397766e-08,0.2199023237642135,619,2.317694584761986e-07,healthy,aging,aida,NK
CXXC5,0.9126496591790596,-0.004418004172676524,619,0.9243315748165516,healthy,aging,aida,NK
DBP,3.248447406001791e-10,0.24918049663368919,619,1.7135560066131946e-08,healthy,aging,aida,NK
DDIT3,0.8881559580468735,0.005664120242482713,619,0.9024120729432921,healthy,aging,aida,NK
DEAF1,0.004113314926205249,0.11517722706542441,619,0.005551659591232243,healthy,aging,aida,NK
DMTF1,0.0017578121204198172,0.12549586578346963,619,0.002456280512639612,healthy,aging,aida,NK
DNMT1,1.5320718161762076e-05,0.17283701505532334,619,2.819190289649822e-05,healthy,aging,aida,NK
DNTTIP1,3.4608375992246056e-07,0.203115097312305,619,1.1070950239450417e-06,healthy,aging,aida,NK
DOT1L,4.214929089883945e-07,0.20165291457033527,619,1.2352083860631823e-06,healthy,aging,aida,NK
DR1,7.96138056849358e-09,0.2292547360112027,619,8.841322631315975e-08,healthy,aging,aida,NK
DRAP1,0.209227672533132,-0.05054041897923105,619,0.23949569025944403,healthy,aging,aida,NK
E2F3,0.0012837233612270093,-0.12912526962375445,619,0.0018426233280197208,healthy,aging,aida,NK
E2F4,2.3697141382609142e-08,0.22202528384008605,619,1.807263915082561e-07,healthy,aging,aida,NK
E2F5,1.2776627546241858e-06,0.19321778607433138,619,3.086872227775204e-06,healthy,aging,aida,NK
E4F1,0.0007400831240467889,0.135273426788054,619,0.001088452886344084,healthy,aging,aida,NK
EEA1,8.052713578620261e-07,0.19677326970503667,619,2.097682179122042e-06,healthy,aging,aida,NK
EGR1,0.5010379791031607,0.027094224192067154,619,0.5468224840901738,healthy,aging,aida,NK
ELF1,0.7357089370286738,0.01359377723347438,619,0.7697582762630587,healthy,aging,aida,NK
ELF2,0.04903807778982571,0.0791469074246537,619,0.060157176823565264,healthy,aging,aida,NK
ELF4,5.409177622125405e-09,0.23175946954880625,619,6.713743989802062e-08,healthy,aging,aida,NK
ELK3,0.7090601959350645,-0.015026427320675453,619,0.7493073522986575,healthy,aging,aida,NK
ELK4,1.6683407208436563e-05,0.1720958390545824,619,3.052195596225531e-05,healthy,aging,aida,NK
EOMES,0.10495325632734938,0.06522799261751368,619,0.12348589452641665,healthy,aging,aida,NK
ESRRA,3.459782510534564e-05,0.16561996305630325,619,6.049840688310439e-05,healthy,aging,aida,NK
ETS1,0.6841920317197177,0.016380652645984418,619,0.7266670404003042,healthy,aging,aida,NK
ETV3,0.1891237151992607,0.052850925331445156,619,0.21726916827791656,healthy,aging,aida,NK
ETV6,0.006578631696701219,-0.10911794623664121,619,0.008724947835233313,healthy,aging,aida,NK
FAM200B,1.332991123792238e-09,0.2406046641441002,619,3.6686233971919855e-08,healthy,aging,aida,NK
FLI1,0.0020043198012362684,0.12395249987397816,619,0.002776224144819601,healthy,aging,aida,NK
FLYWCH1,2.8635491514060144e-05,0.16732258260457725,619,5.063202829162029e-05,healthy,aging,aida,NK
FOS,0.4027842308029377,-0.033686712421001,619,0.4449605900493186,healthy,aging,aida,NK
FOSB,0.916310927628463,-0.004232128123596966,619,0.9250794532517018,healthy,aging,aida,NK
FOSL2,0.9609721480859494,0.0019707922497166318,619,0.9640180186028621,healthy,aging,aida,NK
FOXJ2,4.89066214290396e-07,0.20054277018353855,619,1.3944996110171818e-06,healthy,aging,aida,NK
FOXJ3,1.7780231009136725e-05,0.17153995705402672,619,3.243483063050012e-05,healthy,aging,aida,NK
FOXK1,0.28525092784336575,-0.043017639471847426,619,0.3195820129643372,healthy,aging,aida,NK
FOXN2,6.82096894840586e-08,0.2147747260699317,619,3.64090985073194e-07,healthy,aging,aida,NK
FOXN3,0.5698512584935667,0.02288398616819161,619,0.6176641209356638,healthy,aging,aida,NK
FOXO1,0.38269925417204975,0.0351463645156041,619,0.42351158722186627,healthy,aging,aida,NK
FOXO3,4.889705716349129e-06,0.18248677836789248,619,9.82598005856823e-06,healthy,aging,aida,NK
FOXP1,0.8066732593486202,0.009855808621160806,619,0.835718777688505,healthy,aging,aida,NK
GABPA,8.399377514285725e-08,0.21331699726732725,619,4.2824415475429783e-07,healthy,aging,aida,NK
GATA3,6.947938455029379e-05,-0.15919282732630555,619,0.00011573802742193673,healthy,aging,aida,NK
GATAD2A,0.0007414684559841113,0.13525297915733156,619,0.001088452886344084,healthy,aging,aida,NK
GATAD2B,0.00035744362176004144,0.14302758338416935,619,0.0005425942747580485,healthy,aging,aida,NK
GFI1,2.009206605800832e-09,0.23804987440158454,619,4.0416992354142524e-08,healthy,aging,aida,NK
GLI4,9.965868365706849e-11,0.2561190508900108,619,9.011992392656336e-09,healthy,aging,aida,NK
GLMP,4.4011938934016134e-08,0.21780990860205623,619,2.678803590887104e-07,healthy,aging,aida,NK
GLYR1,2.034153603923512e-07,0.2070045757824592,619,7.824321622363611e-07,healthy,aging,aida,NK
GMEB1,2.4311138608187427e-08,0.22185276960910236,619,1.8320179451162275e-07,healthy,aging,aida,NK
GPBP1,0.00012244412532461414,0.1537816199816446,619,0.00019523206884252079,healthy,aging,aida,NK
GPBP1L1,2.0360008639918396e-07,0.20699799609930591,619,7.824321622363611e-07,healthy,aging,aida,NK
GTF2B,0.6145455629779422,0.020280127173236823,619,0.6627041590545781,healthy,aging,aida,NK
GTF2I,0.0001049064183457888,0.155275612961013,619,0.00016940245615531708,healthy,aging,aida,NK
GTF2IRD2,0.9564089894669632,-0.0022014354507120144,619,0.9609633179882345,healthy,aging,aida,NK
GTF2IRD2B,0.025235735449948855,0.08994320583315182,619,0.03169488202344767,healthy,aging,aida,NK
GTF3A,0.0018524974630930828,-0.12488089316690296,619,0.0025715589783726345,healthy,aging,aida,NK
GZF1,0.00010624838722401586,0.15515328146730972,619,0.0001711328985058576,healthy,aging,aida,NK
HBP1,0.2823938038220179,0.04327341200119352,619,0.31694198194917966,healthy,aging,aida,NK
HES4,0.011995856758824816,0.10092257127215255,619,0.01552837899455237,healthy,aging,aida,NK
HES6,1.2083317541153897e-06,0.1936510075970261,619,2.93055172549822e-06,healthy,aging,aida,NK
HIF1A,0.48040331089497057,-0.028414336390873835,619,0.5252077647608228,healthy,aging,aida,NK
HINFP,0.00010292578975226233,0.1554588824433049,619,0.00016662921972680832,healthy,aging,aida,NK
HIVEP1,0.015911747556889767,-0.09687140974174387,619,0.02034774990608328,healthy,aging,aida,NK
HIVEP2,0.07486651943000938,-0.07164852335788448,619,0.0890798999984886,healthy,aging,aida,NK
HIVEP3,9.462121425030493e-09,0.2281261938180505,619,1.0116031108891483e-07,healthy,aging,aida,NK
HMBOX1,6.957631636320103e-07,0.1978856916744634,619,1.8741195003364095e-06,healthy,aging,aida,NK
HMG20A,2.4642756983045537e-06,0.18804200485418876,619,5.511966491260693e-06,healthy,aging,aida,NK
HMG20B,5.735216040415894e-09,0.2313820234940722,619,6.98152260303256e-08,healthy,aging,aida,NK
HMGA1,0.010516214253585338,0.10276518623274897,619,0.013697044490780902,healthy,aging,aida,NK
HMGN3,3.331568410816769e-08,0.21971614403744993,619,2.317694584761986e-07,healthy,aging,aida,NK
HOXB2,4.244686644650301e-07,0.20160053016984586,619,1.238196611089206e-06,healthy,aging,aida,NK
HOXB4,3.633559014417266e-08,0.219123947247183,619,2.3880051326882587e-07,healthy,aging,aida,NK
HSF1,9.220871580020711e-05,0.15651213787729962,619,0.0001512127386050028,healthy,aging,aida,NK
HSF2,3.563664685798247e-08,0.21925665439508948,619,2.3745260485364814e-07,healthy,aging,aida,NK
IKZF1,0.0022446330325702674,0.12260697997561044,619,0.003102298492613492,healthy,aging,aida,NK
IKZF2,0.00029292342010893934,0.145081962916406,619,0.00045004981778873446,healthy,aging,aida,NK
IKZF3,1.5974697016251384e-09,0.23948130977804957,619,3.889224312009164e-08,healthy,aging,aida,NK
IKZF5,7.6028073406289e-05,0.15834437718369285,619,0.00012598369231984534,healthy,aging,aida,NK
IRF1,0.9861474776445079,-0.0006992684803493967,619,0.9861474776445079,healthy,aging,aida,NK
IRF2,0.00011570808440080545,0.15433006187894238,619,0.00018495761976189352,healthy,aging,aida,NK
IRF3,2.3769931542309625e-09,0.23699472098206484,619,4.179546296171859e-08,healthy,aging,aida,NK
IRF7,0.03282115638190001,0.0857985115760722,619,0.04049861986304621,healthy,aging,aida,NK
IRF8,0.7280849396485312,0.014001818814871083,619,0.7655776857101665,healthy,aging,aida,NK
IRF9,0.004221004564590879,0.11485092539397014,619,0.0056848848710340984,healthy,aging,aida,NK
JAZF1,7.215206493597482e-10,0.2443730764442344,619,2.6316868542277386e-08,healthy,aging,aida,NK
JUN,0.7307879500359173,-0.013856989866078391,619,0.7671455594904406,healthy,aging,aida,NK
JUNB,0.22596804659941275,-0.04873616863271286,619,0.2568003114855086,healthy,aging,aida,NK
JUND,0.21433431481446522,-0.04997937445804741,619,0.24445697527487656,healthy,aging,aida,NK
KAT7,1.550850146478053e-06,0.19170552182097583,619,3.6224654712937314e-06,healthy,aging,aida,NK
KCMF1,4.063049554733692e-09,0.23359560605214408,619,5.7197049944224166e-08,healthy,aging,aida,NK
KDM2A,0.7013900584527548,0.015442237989487732,619,0.7436849363494034,healthy,aging,aida,NK
KDM2B,3.2431741657327524e-06,0.1858351791245858,619,6.912219686561703e-06,healthy,aging,aida,NK
KDM5B,0.31391227674252337,0.040541932459539194,619,0.3504523301199599,healthy,aging,aida,NK
KIN,4.036933663631615e-09,0.23363680499127293,619,5.7197049944224166e-08,healthy,aging,aida,NK
KLF10,0.7171707153881673,0.01458847348740509,619,0.7566151047345165,healthy,aging,aida,NK
KLF11,0.0031105792106945456,0.1186552981931843,619,0.004243527242175965,healthy,aging,aida,NK
KLF12,0.02785850691050895,0.08840181382860632,619,0.03471345447707119,healthy,aging,aida,NK
KLF13,3.469844017954421e-06,0.1852883568416027,619,7.321370877883807e-06,healthy,aging,aida,NK
KLF2,0.9200921912219109,-0.004040254440258477,619,0.927417765992786,healthy,aging,aida,NK
KLF3,0.5209204238863892,0.02584917099415495,619,0.5675432501206271,healthy,aging,aida,NK
KLF4,0.6449361476781424,0.018557363671924378,619,0.6907691734014623,healthy,aging,aida,NK
KLF6,0.1026743978238621,0.06565850634752612,619,0.12102959743483187,healthy,aging,aida,NK
KLF7,6.056301014689492e-05,0.16047834557561028,619,0.00010168802499465379,healthy,aging,aida,NK
KLF9,5.425086589015871e-07,0.19976479857008675,619,1.506175355634642e-06,healthy,aging,aida,NK
KMT2A,0.056295761088359,0.07676063349028245,619,0.06813616973027006,healthy,aging,aida,NK
KMT2B,0.06218954269360417,0.07500433891136205,619,0.07484026715789246,healthy,aging,aida,NK
L3MBTL3,2.4986219287558526e-07,0.20550830522046085,619,9.037872462299379e-07,healthy,aging,aida,NK
LCOR,0.0009955594155019113,0.1319952261893112,619,0.0014420803432785123,healthy,aging,aida,NK
LCORL,1.412158725229521e-07,0.20963288083097573,619,6.164803262553266e-07,healthy,aging,aida,NK
LEF1,1.9203385408684385e-10,-0.25229306636228555,619,1.519467870383027e-08,healthy,aging,aida,NK
LIN54,4.2097028504908436e-07,0.20166215143322352,619,1.2352083860631823e-06,healthy,aging,aida,NK
MAF,4.2977833501163286e-10,0.24750568889997454,619,1.943212043257383e-08,healthy,aging,aida,NK
MAFF,0.0718973590489421,-0.07239015487515138,619,0.08586986467543462,healthy,aging,aida,NK
MAX,3.998999710412472e-07,0.20204405142732285,619,1.2054127698528722e-06,healthy,aging,aida,NK
MAZ,3.970167264560552e-09,-0.23374331993893474,619,5.7197049944224166e-08,healthy,aging,aida,NK
MBD1,8.456638127060594e-08,0.21326924395151875,619,4.2824415475429783e-07,healthy,aging,aida,NK
MBD2,0.0010482459909891986,0.1314176059278761,619,0.0015149308499912391,healthy,aging,aida,NK
MBD4,9.588655079527993e-09,0.22803913954863814,619,1.0116031108891483e-07,healthy,aging,aida,NK
MBD6,1.95157428487221e-05,0.17072369674591767,619,3.539674849066213e-05,healthy,aging,aida,NK
MBNL2,3.5212806328808303e-07,0.20298709716850044,619,1.1089406172206478e-06,healthy,aging,aida,NK
MECP2,6.634363628040363e-10,0.24488348271161164,619,2.6247201103039065e-08,healthy,aging,aida,NK
MEF2A,0.4133981751074596,0.03293295910284789,619,0.4558903220261706,healthy,aging,aida,NK
MEF2C,0.1461658495360576,-0.058477591992901624,619,0.17039223343706164,healthy,aging,aida,NK
MEF2D,0.0015837599272916668,0.1267101716158772,619,0.002237767932981306,healthy,aging,aida,NK
MGA,1.0179125023415682e-06,0.19497653538119739,619,2.53676619678034e-06,healthy,aging,aida,NK
MLX,6.606534928004139e-09,0.23046721977750623,619,7.890446432868472e-08,healthy,aging,aida,NK
MLXIP,0.42881959030072414,-0.03185786418207909,619,0.472074435931058,healthy,aging,aida,NK
MNT,1.4643153112173512e-05,0.1732292147842049,619,2.7102678128672006e-05,healthy,aging,aida,NK
MTERF1,2.083276088597644e-08,0.22289197995021223,619,1.6959196968338644e-07,healthy,aging,aida,NK
MTERF2,9.934369503439682e-09,0.22780685142685445,619,1.0308944091263914e-07,healthy,aging,aida,NK
MTERF3,5.077240838796898e-05,0.1621144850175627,619,8.686198516103881e-05,healthy,aging,aida,NK
MTERF4,1.4658774537098382e-07,0.20936556854963773,619,6.355482384919618e-07,healthy,aging,aida,NK
MTF1,8.090772248465632e-06,0.17829498876331973,619,1.5472685296914617e-05,healthy,aging,aida,NK
MTF2,0.0002837056346645564,0.14540942868564896,619,0.00043694809426438974,healthy,aging,aida,NK
MXD1,7.421380270422514e-08,0.21418516115292602,619,3.8824245546915847e-07,healthy,aging,aida,NK
MXD4,0.006699030822388058,0.10887816739865226,619,0.00885279020996167,healthy,aging,aida,NK
MXI1,0.6271722628818903,0.01956003146506,619,0.6740238410937802,healthy,aging,aida,NK
MYBL1,0.002305197188774774,0.12228872576278206,619,0.003172151783683548,healthy,aging,aida,NK
MYC,5.899214846605627e-13,-0.28409287749377393,619,9.335507336503405e-11,healthy,aging,aida,NK
MYNN,3.3418459770194234e-07,0.20337350171491242,619,1.101764845548558e-06,healthy,aging,aida,NK
MYSM1,6.253861558288743e-07,0.19869329716857853,619,1.691749729229364e-06,healthy,aging,aida,NK
MZF1,0.06139122786186209,-0.07523394454693712,619,0.074020280450588,healthy,aging,aida,NK
NACC2,3.442197646580568e-07,0.2031550056212769,619,1.1070950239450417e-06,healthy,aging,aida,NK
NCOA1,0.03617530510652842,0.08422379094570807,619,0.044550521658428974,healthy,aging,aida,NK
NCOA2,0.002533763312385039,0.1211526928534246,619,0.0034791153508454,healthy,aging,aida,NK
NCOA3,0.00034731840901974944,0.1433258201763276,619,0.000528491713724763,healthy,aging,aida,NK
NFAT5,0.013270872571712881,0.09948961750726747,619,0.017108884598562635,healthy,aging,aida,NK
NFATC1,1.0836806356270118e-07,0.21151854210327864,619,5.196741229938146e-07,healthy,aging,aida,NK
NFATC2,2.6956648864339792e-05,0.1678629264303018,619,4.8202143308268596e-05,healthy,aging,aida,NK
NFATC3,0.00026180630030878246,0.14622915598065034,619,0.00040519165793510825,healthy,aging,aida,NK
NFE2L1,7.769176459994626e-09,0.22941396434351152,619,8.781944105661192e-08,healthy,aging,aida,NK
NFE2L2,0.8640203096552215,-0.00689733001071905,619,0.8835619644777951,healthy,aging,aida,NK
NFE2L3,1.8124638708395127e-09,-0.2386942784470252,619,4.0416992354142524e-08,healthy,aging,aida,NK
NFIC,0.019090268873625523,-0.09418469735200535,619,0.02426534176105413,healthy,aging,aida,NK
NFIL3,1.1451860736342209e-07,0.2111267978909231,619,5.369650256373322e-07,healthy,aging,aida,NK
NFKB1,0.14705670495075332,-0.05834895918725542,619,0.171115614400417,healthy,aging,aida,NK
NFKB2,0.6790820623558078,-0.016661174906576235,619,0.7224520091953385,healthy,aging,aida,NK
NFX1,2.352909224081408e-06,0.18841104915966558,619,5.281530279586967e-06,healthy,aging,aida,NK
NFYA,1.1329589614515758e-06,0.19414992472535877,619,2.7797016379800046e-06,healthy,aging,aida,NK
NFYB,4.0421355748475673e-08,0.21839438691785493,619,2.558671818877877e-07,healthy,aging,aida,NK
NFYC,1.200371154461122e-09,0.24125250986995952,619,3.618261622702667e-08,healthy,aging,aida,NK
NME2,4.900117846242058e-15,-0.30764999055501757,619,1.5508841333356116e-12,healthy,aging,aida,NK
NR1D2,0.4757865495221877,0.028713863813189102,619,0.5210603561376208,healthy,aging,aida,NK
NR1H2,0.00010676258190106162,0.15510679347518458,619,0.00017152465569383754,healthy,aging,aida,NK
NR2C1,2.0167289629525986e-06,0.189636211469276,619,4.6421433947235945e-06,healthy,aging,aida,NK
NR2C2,2.127634560121142e-07,0.20667862840163623,619,7.96918743524627e-07,healthy,aging,aida,NK
NR3C1,0.024003249394397658,0.09071583778066007,619,0.030206872498317532,healthy,aging,aida,NK
NR3C2,0.23306879057028423,0.04799964902312655,619,0.26398762686108085,healthy,aging,aida,NK
NR4A1,0.7771174916291668,0.011400515773756607,619,0.807742811496326,healthy,aging,aida,NK
NR4A2,0.849738609616726,0.007630028342781734,619,0.8703633331511126,healthy,aging,aida,NK
NR4A3,0.7929783103487676,-0.01056962832386837,619,0.8228774925422457,healthy,aging,aida,NK
NRF1,9.507759177534225e-07,0.19550141695151177,619,2.388258555309167e-06,healthy,aging,aida,NK
PA2G4,0.2448276655522567,0.04681409134480401,619,0.2762493980295517,healthy,aging,aida,NK
PATZ1,0.7334304209205413,0.013715577291230666,619,0.7686447954349381,healthy,aging,aida,NK
PBX2,3.337686296581918e-06,0.18560286569632847,619,7.066071657981096e-06,healthy,aging,aida,NK
PBX3,0.0015317768082001523,0.12709665208171014,619,0.002174024034956718,healthy,aging,aida,NK
PCGF6,7.373904083280049e-07,0.19744422024135339,619,1.956751009435081e-06,healthy,aging,aida,NK
PHF1,0.5878178707535753,0.021826378020726275,619,0.636049080661561,healthy,aging,aida,NK
PHF19,1.5240198850685057e-07,0.20908669120983425,619,6.388772100982124e-07,healthy,aging,aida,NK
PHF20,0.5527774857826109,0.023903837056946698,619,0.6001855034312052,healthy,aging,aida,NK
PHF21A,1.338766196445115e-05,0.1740038965560801,619,2.4851583646620447e-05,healthy,aging,aida,NK
PIN1,1.4313806009228875e-08,0.22539694124607879,619,1.3277222626498107e-07,healthy,aging,aida,NK
PKNOX1,1.2673837642708925e-07,0.21040536093964193,619,5.689744133215686e-07,healthy,aging,aida,NK
PLSCR1,0.8284767242623712,0.008725596200746633,619,0.8529778799522184,healthy,aging,aida,NK
POGK,0.07724783211906035,0.07107085248350203,619,0.09174085878304916,healthy,aging,aida,NK
POU2F1,1.339688901716627e-06,0.1928489189141702,619,3.176116384968609e-06,healthy,aging,aida,NK
POU2F2,4.3369701356469684e-08,0.21791098265787973,619,2.674423172531796e-07,healthy,aging,aida,NK
PRDM1,3.331847898425923e-16,0.3199887438399552,619,2.1089964197036093e-13,healthy,aging,aida,NK
PRDM10,3.892625300049614e-07,0.20224427624697122,619,1.192019377509463e-06,healthy,aging,aida,NK
PRDM2,0.35135893194364975,0.03752114931093081,619,0.39156726042311674,healthy,aging,aida,NK
PRDM4,2.0395151148342169e-07,0.20698549470131478,619,7.824321622363611e-07,healthy,aging,aida,NK
PRDM8,6.819900755409804e-09,-0.23026109854949361,619,7.99443921882977e-08,healthy,aging,aida,NK
PREB,4.223033535135739e-06,0.18368911423825585,619,8.70742745192481e-06,healthy,aging,aida,NK
PRMT3,0.0001913934073484256,0.1493858095863735,619,0.0003006253768028621,healthy,aging,aida,NK
PRR12,1.4353299247848054e-06,0.19231108042933864,619,3.37756075237463e-06,healthy,aging,aida,NK
PURA,0.05045146600310348,0.07866008679073355,619,0.06162404870492518,healthy,aging,aida,NK
PURB,0.0011131005779374651,0.13074230267808878,619,0.0016049946829941127,healthy,aging,aida,NK
RARA,0.06660690020901429,-0.07377606390549066,619,0.08000411353378756,healthy,aging,aida,NK
RBAK,1.2307919327302715e-07,0.21061408873444223,619,5.604973333943874e-07,healthy,aging,aida,NK
RBCK1,1.2012967474300869e-05,0.17493578214237085,619,2.2431293248473287e-05,healthy,aging,aida,NK
RBPJ,0.0005642883972213185,-0.1382094585563537,619,0.0008404577775084579,healthy,aging,aida,NK
RBSN,4.1834801505005487e-07,0.20170866473182233,619,1.2352083860631823e-06,healthy,aging,aida,NK
REL,0.8269319097887353,-0.00880543812516406,619,0.8529778799522184,healthy,aging,aida,NK
RELA,9.319401190868619e-09,0.22822574948545402,619,1.0116031108891483e-07,healthy,aging,aida,NK
RELB,0.8937548939133735,0.005378840364841618,619,0.9066455894986626,healthy,aging,aida,NK
REPIN1,0.029160374522590255,0.08768262915348148,619,0.03614775343427055,healthy,aging,aida,NK
REST,9.243875221784798e-08,0.21264260505059188,619,4.5010561656839567e-07,healthy,aging,aida,NK
REXO4,2.795402526409641e-07,0.2046870089240922,619,9.616792387050214e-07,healthy,aging,aida,NK
RFX1,0.0907975743461919,0.06803402503058917,619,0.10736791306274468,healthy,aging,aida,NK
RFX2,2.8049956355738316e-09,-0.23595052526564267,619,4.798816857599744e-08,healthy,aging,aida,NK
RFX3,0.00024648530638489544,0.14684169917574505,619,0.00038335429715390367,healthy,aging,aida,NK
