gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
CEBPB,1.432277149627355e-12,0.2786132998706964,623,3.254726350360093e-11,healthy,aging,aida,CD4T,1.08607861632538e-27,1.55592566990962e-26,25.808011154081004,Increase in aging
CEBPD,5.575208264336994e-08,0.21549591709304025,623,1.7749092976802313e-07,healthy,aging,aida,CD4T,1.16203119803061e-23,5.431053613490599e-23,22.265115909980675,Increase in aging
CEBPG,1.0817527216810511e-08,0.22653282902563462,623,5.3199630118493485e-08,healthy,aging,aida,CD4T,1.56322699341274e-19,3.1600202106104204e-19,18.50031013974599,Increase in aging
CEBPZ,1.857537671142066e-07,0.20700605930375623,623,4.206588746675675e-07,healthy,aging,aida,CD4T,8.501571016136161e-19,1.5307473496267e-18,17.81509648383964,Inconsistent
CENPB,0.0009987201925128958,0.1315374794925429,623,0.001169017063705148,healthy,aging,aida,CD4T,6.676299158805131e-15,8.04329277084566e-15,14.094566122961186,Increase in aging
CENPT,4.825224976971585e-09,0.2317643032892276,623,3.057522365215649e-08,healthy,aging,aida,CD4T,6.83998282191043e-21,1.8102605139112302e-20,19.742258921477355,Increase in aging
CENPX,2.2588690438621856e-09,0.23657094584051835,623,1.878237917733128e-08,healthy,aging,aida,CD4T,1.23617452772107e-21,3.8426368573971e-21,20.415370655941704,Increase in aging
CGGBP1,1.2598426721138868e-07,0.20978368673223025,623,3.307714425988252e-07,healthy,aging,aida,CD4T,2.85253011956672e-17,3.98266387456455e-17,16.399826345255676,Increase in aging
CHAMP1,9.26378443499365e-08,0.2119566705334784,623,2.620100404575457e-07,healthy,aging,aida,CD4T,1.48813461183339e-21,4.51926594100555e-21,20.344932101396637,Increase in aging
CHCHD3,1.1165486486748071e-08,0.2263250673293466,623,5.4103349961521904e-08,healthy,aging,aida,CD4T,3.33117457066598e-20,7.757046085049041e-20,19.110303628380098,Increase in aging
CIC,2.1517377852208294e-05,0.16932342436708328,623,2.8588612912510612e-05,healthy,aging,aida,CD4T,1.07055606457953e-17,1.61072248072582e-17,16.792979279861186,Increase in aging
CLOCK,4.514690597358527e-09,0.23218980520055013,623,2.9457238650091775e-08,healthy,aging,aida,CD4T,3.98879242523733e-19,7.488929368180631e-19,18.125580265441545,Increase in aging
