gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
ESRRA,9.546781014323434e-05,0.4646144013129612,PBS,IL-10,0.00041057398087743924,All age groups,parsebioscience,IL-10,CD4T
ETS1,7.071851984252184e-07,0.9333046337843941,PBS,IL-10,1.3295081730394107e-05,All age groups,parsebioscience,IL-10,CD4T
ETS2,0.00026646250469698426,0.5745722531737062,PBS,IL-10,0.0006190391641008627,All age groups,parsebioscience,IL-10,CD4T
ETV3,0.002759444172055821,0.43484337396199707,PBS,IL-10,0.0031251536406415323,All age groups,parsebioscience,IL-10,CD4T
ETV6,0.0012542155577054688,0.634714715933132,PBS,IL-10,0.0015170474944305118,All age groups,parsebioscience,IL-10,CD4T
FAM200B,0.0001213730992286449,0.6903649460858288,PBS,IL-10,0.0004501778317623546,All age groups,parsebioscience,IL-10,CD4T
FLI1,0.045950127810592996,0.38350672000433156,PBS,IL-10,0.04837629455899231,All age groups,parsebioscience,IL-10,CD4T
FLYWCH1,0.0001145051481758644,0.5645339205638211,PBS,IL-10,0.0004458247781048448,All age groups,parsebioscience,IL-10,CD4T
FOS,0.1936897454327553,-0.10065884403750858,PBS,IL-10,0.1988266029559329,All age groups,parsebioscience,IL-10,CD4T
FOSB,0.0012712490431906966,0.4052636683607,PBS,IL-10,0.00153482912003574,All age groups,parsebioscience,IL-10,CD4T
FOSL2,0.016932128609265146,0.3239157305833397,PBS,IL-10,0.01838505053613278,All age groups,parsebioscience,IL-10,CD4T
FOXJ2,0.00032207543566975874,0.7466217582450939,PBS,IL-10,0.0006750972254224363,All age groups,parsebioscience,IL-10,CD4T
FOXJ3,7.626612384373547e-05,0.8497128936304897,PBS,IL-10,0.00036729977453557426,All age groups,parsebioscience,IL-10,CD4T
FOXK1,0.00036813138048533324,0.7170441668964019,PBS,IL-10,0.0007097761523530684,All age groups,parsebioscience,IL-10,CD4T
FOXK2,0.00037032472516838763,0.545349375582557,PBS,IL-10,0.0007097761523530684,All age groups,parsebioscience,IL-10,CD4T
FOXN2,0.0010858605071939692,0.7433539503382163,PBS,IL-10,0.0013455672575021314,All age groups,parsebioscience,IL-10,CD4T
FOXN3,4.409986994834273e-06,0.9434863071052481,PBS,IL-10,5.275948077456276e-05,All age groups,parsebioscience,IL-10,CD4T
FOXO1,2.1477958613476956e-07,1.030873346500898,PBS,IL-10,4.873274747471668e-06,All age groups,parsebioscience,IL-10,CD4T
FOXO3,0.00020382836497727768,0.8498520327960081,PBS,IL-10,0.0005340186682246969,All age groups,parsebioscience,IL-10,CD4T
FOXP1,3.5800999800156056e-20,1.8240249356538334,PBS,IL-10,2.3557057868502685e-17,All age groups,parsebioscience,IL-10,CD4T
GABPA,0.0004993450538798404,0.7522972067062383,PBS,IL-10,0.0007843502758913889,All age groups,parsebioscience,IL-10,CD4T
GATA3,4.739074953124939e-09,-0.6428799482871098,PBS,IL-10,1.834300775974241e-07,All age groups,parsebioscience,IL-10,CD4T
GATAD2A,0.000593290651170629,0.7814685123799429,PBS,IL-10,0.000849697914517596,All age groups,parsebioscience,IL-10,CD4T
GATAD2B,0.00015926489384861313,0.9295115946586124,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
GFI1,0.004473013983220616,0.4582480435177584,PBS,IL-10,0.005005515647889737,All age groups,parsebioscience,IL-10,CD4T
GLI4,0.00014117832669694328,0.6309219405303021,PBS,IL-10,0.00047638635367481375,All age groups,parsebioscience,IL-10,CD4T
GLMP,0.0004376675105864285,0.4917146641927942,PBS,IL-10,0.0007437056160013964,All age groups,parsebioscience,IL-10,CD4T
GLYR1,0.0002479720300645483,0.8431555488355947,PBS,IL-10,0.0005980933049386731,All age groups,parsebioscience,IL-10,CD4T
GMEB1,0.0001960537691646012,0.7091380378586172,PBS,IL-10,0.000530627322059271,All age groups,parsebioscience,IL-10,CD4T
GMEB2,9.294946158938192e-05,0.5549434784658515,PBS,IL-10,0.0004050380511643265,All age groups,parsebioscience,IL-10,CD4T
GPBP1,0.0004756328240546132,0.7820134979131304,PBS,IL-10,0.0007789536961478183,All age groups,parsebioscience,IL-10,CD4T
GPBP1L1,0.0003917063026020992,0.8209857757909533,PBS,IL-10,0.0007274809013349595,All age groups,parsebioscience,IL-10,CD4T
GTF2B,0.0003527136179784265,0.6986017094025553,PBS,IL-10,0.0007046793271136066,All age groups,parsebioscience,IL-10,CD4T
GTF2I,0.00028097492330432245,0.8460017147920134,PBS,IL-10,0.0006375224121870489,All age groups,parsebioscience,IL-10,CD4T
GTF2IRD2,0.0004636560825262092,0.6244985789364349,PBS,IL-10,0.00076462582030638,All age groups,parsebioscience,IL-10,CD4T
GTF2IRD2B,0.0002318927565471472,0.7103392070110132,PBS,IL-10,0.0005792280985675316,All age groups,parsebioscience,IL-10,CD4T
GTF3A,3.1148249034856505e-12,-0.5355095829007416,PBS,IL-10,2.2772830961039534e-10,All age groups,parsebioscience,IL-10,CD4T
GZF1,2.3216837695615388e-07,0.4095463807879686,PBS,IL-10,5.092226401238308e-06,All age groups,parsebioscience,IL-10,CD4T
HBP1,0.00022042627686966044,0.8256453126270624,PBS,IL-10,0.000555710690345734,All age groups,parsebioscience,IL-10,CD4T
HIF1A,2.4638803769743824e-06,0.9153662282482216,PBS,IL-10,3.377569350102383e-05,All age groups,parsebioscience,IL-10,CD4T
HINFP,1.0593578218116346e-06,0.5529961004438236,PBS,IL-10,1.76831883262695e-05,All age groups,parsebioscience,IL-10,CD4T
HIVEP1,1.7533483841069565e-05,0.8511258322583307,PBS,IL-10,0.00014243249836325646,All age groups,parsebioscience,IL-10,CD4T
HIVEP2,1.7894128879461513e-06,1.1048917710855044,PBS,IL-10,2.668345151868915e-05,All age groups,parsebioscience,IL-10,CD4T
HIVEP3,0.002332691660683226,0.6379698868733424,PBS,IL-10,0.002660157907676885,All age groups,parsebioscience,IL-10,CD4T
HMBOX1,0.0001578057973064866,0.9027057603399666,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
HMG20A,5.0042818354358345e-05,0.6940282244078633,PBS,IL-10,0.0002790523260776931,All age groups,parsebioscience,IL-10,CD4T
HMG20B,0.0005467878229844498,0.751357971261329,PBS,IL-10,0.000820699293094149,All age groups,parsebioscience,IL-10,CD4T
HMGA1,0.020154120056645068,0.28006925176580516,PBS,IL-10,0.021811531245513906,All age groups,parsebioscience,IL-10,CD4T
HMGN3,0.00043966790976374343,0.6430021895044462,PBS,IL-10,0.0007437056160013964,All age groups,parsebioscience,IL-10,CD4T
HOXB2,0.0001659351281908527,0.6905822118634337,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
HSF1,0.0003294285681938937,0.7855251788874431,PBS,IL-10,0.0006818360724261064,All age groups,parsebioscience,IL-10,CD4T
HSF2,0.00015668175773637274,0.5936459770193895,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
IKZF1,1.2272486617877626e-06,0.9281343952855566,PBS,IL-10,1.969584437698409e-05,All age groups,parsebioscience,IL-10,CD4T
IKZF2,0.00037045885888994506,0.4201537145528191,PBS,IL-10,0.0007097761523530684,All age groups,parsebioscience,IL-10,CD4T
IKZF3,0.0047472660789279,0.6356903419887268,PBS,IL-10,0.005285450219855429,All age groups,parsebioscience,IL-10,CD4T
IKZF5,7.669846321109619e-05,0.8378440389265082,PBS,IL-10,0.00036729977453557426,All age groups,parsebioscience,IL-10,CD4T
IRF1,0.0011153091822693312,-0.4447158484381688,PBS,IL-10,0.0013742948350809361,All age groups,parsebioscience,IL-10,CD4T
IRF2,0.00899841898818567,0.5483823499110363,PBS,IL-10,0.009884740724918482,All age groups,parsebioscience,IL-10,CD4T
IRF3,0.020956580608228734,0.4115331812086533,PBS,IL-10,0.022568625270400173,All age groups,parsebioscience,IL-10,CD4T
IRF4,0.08393411138899502,0.09684661371781517,PBS,IL-10,0.0873870969841119,All age groups,parsebioscience,IL-10,CD4T
IRF5,0.02837772882391992,0.30648064184458595,PBS,IL-10,0.03026344500184653,All age groups,parsebioscience,IL-10,CD4T
IRF7,1.381653313564876e-07,-1.5935419909466708,PBS,IL-10,3.7663293255227136e-06,All age groups,parsebioscience,IL-10,CD4T
IRF9,0.0780186996145452,-0.40251425021508586,PBS,IL-10,0.08135705918600752,All age groups,parsebioscience,IL-10,CD4T
JAZF1,0.02066736631006801,0.44492579549910244,PBS,IL-10,0.022321247785266538,All age groups,parsebioscience,IL-10,CD4T
JRKL,2.042468043658527e-05,0.5731043954075395,PBS,IL-10,0.00015811105561497774,All age groups,parsebioscience,IL-10,CD4T
JUN,0.0421741513153878,-0.14994154360646575,PBS,IL-10,0.0444721018678288,All age groups,parsebioscience,IL-10,CD4T
JUNB,0.7980564475543708,-0.029225464893920344,PBS,IL-10,0.8017116679248488,All age groups,parsebioscience,IL-10,CD4T
JUND,0.005066993616799788,-0.2037865626443809,PBS,IL-10,0.005603498823284471,All age groups,parsebioscience,IL-10,CD4T
KAT7,0.00011158259252155857,0.9397076570901146,PBS,IL-10,0.0004458247781048448,All age groups,parsebioscience,IL-10,CD4T
KCMF1,0.000663319648824245,0.7559680754576351,PBS,IL-10,0.0009153006634953009,All age groups,parsebioscience,IL-10,CD4T
KDM2A,3.8205940084588494e-05,0.7442368167427869,PBS,IL-10,0.0002371651752420682,All age groups,parsebioscience,IL-10,CD4T
KDM2B,0.0005555803378770121,0.7937028765430229,PBS,IL-10,0.000820699293094149,All age groups,parsebioscience,IL-10,CD4T
KDM5B,0.0004168232087413632,0.8092935848111783,PBS,IL-10,0.0007355756016376684,All age groups,parsebioscience,IL-10,CD4T
KIN,0.0005357114462324374,0.7644747456046944,PBS,IL-10,0.0008156359945353978,All age groups,parsebioscience,IL-10,CD4T
KLF10,0.6966591080551413,0.05431713509471149,PBS,IL-10,0.7030700814421519,All age groups,parsebioscience,IL-10,CD4T
KLF11,0.00016788595309510706,0.537102747363405,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
KLF12,1.0143399088853897e-06,1.0501429002659088,PBS,IL-10,1.7564096317015432e-05,All age groups,parsebioscience,IL-10,CD4T
KLF13,0.0002552289811646933,0.8346741837061089,PBS,IL-10,0.0006079068621301489,All age groups,parsebioscience,IL-10,CD4T
KLF16,0.00011215808822771228,0.3422807147089509,PBS,IL-10,0.0004458247781048448,All age groups,parsebioscience,IL-10,CD4T
KLF2,0.9612702052711792,0.003953957164099744,PBS,IL-10,0.9612702052711792,All age groups,parsebioscience,IL-10,CD4T
KLF3,1.4882152350089748e-07,0.7568822368544954,PBS,IL-10,3.7663293255227136e-06,All age groups,parsebioscience,IL-10,CD4T
KLF4,0.00015978640269411485,0.6514395396894306,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
KLF6,0.0011947694596317413,-0.40081904802548474,PBS,IL-10,0.0014558487119216404,All age groups,parsebioscience,IL-10,CD4T
KLF7,7.07773345156069e-06,0.820110457092913,PBS,IL-10,7.276794704885835e-05,All age groups,parsebioscience,IL-10,CD4T
KLF9,0.0001434288983660577,0.6877026511981837,PBS,IL-10,0.0004766475511356867,All age groups,parsebioscience,IL-10,CD4T
KMT2A,0.004354852649494327,0.5681603008070039,PBS,IL-10,0.0048815895116989215,All age groups,parsebioscience,IL-10,CD4T
KMT2B,0.0005526977617184566,0.5733636140444018,PBS,IL-10,0.000820699293094149,All age groups,parsebioscience,IL-10,CD4T
L3MBTL3,0.0005054524079863604,0.7712978879915825,PBS,IL-10,0.000787568224190572,All age groups,parsebioscience,IL-10,CD4T
LCOR,0.00017934071538478686,0.9099610690986436,PBS,IL-10,0.0005064643378677673,All age groups,parsebioscience,IL-10,CD4T
LCORL,0.001002272092811893,0.6306508907905637,PBS,IL-10,0.0012609804138532144,All age groups,parsebioscience,IL-10,CD4T
LEF1,1.865672627182692e-14,1.0901241897009437,PBS,IL-10,4.092041962287371e-12,All age groups,parsebioscience,IL-10,CD4T
LIN54,0.00042334134187263923,0.7520387706842198,PBS,IL-10,0.0007355756016376684,All age groups,parsebioscience,IL-10,CD4T
LYL1,0.014351786336554312,0.46039900375113263,PBS,IL-10,0.015634893062007844,All age groups,parsebioscience,IL-10,CD4T
MAF,0.02399362450649449,-0.29987233941606906,PBS,IL-10,0.025754983564883156,All age groups,parsebioscience,IL-10,CD4T
MAFF,4.337634657839411e-06,0.376056289118524,PBS,IL-10,5.275948077456276e-05,All age groups,parsebioscience,IL-10,CD4T
MAX,0.002350303321222802,0.6150262780496759,PBS,IL-10,0.0026756048189699026,All age groups,parsebioscience,IL-10,CD4T
MAZ,0.06871065559507773,0.1588817425806583,PBS,IL-10,0.07176446251041452,All age groups,parsebioscience,IL-10,CD4T
MBD1,0.00041921866791779107,0.7644016292604755,PBS,IL-10,0.0007355756016376684,All age groups,parsebioscience,IL-10,CD4T
MBD2,0.007918406740622665,0.4934596697345923,PBS,IL-10,0.008712895711253702,All age groups,parsebioscience,IL-10,CD4T
MBD4,0.0005896865058655125,0.761573514944269,PBS,IL-10,0.0008471915302609329,All age groups,parsebioscience,IL-10,CD4T
MBD6,0.0006319824712175035,0.5976503558560369,PBS,IL-10,0.0008866619745439601,All age groups,parsebioscience,IL-10,CD4T
MBNL2,0.003343453660145992,0.6349443758329313,PBS,IL-10,0.003760670954488996,All age groups,parsebioscience,IL-10,CD4T
MECP2,0.0006271239776712233,0.7833125079397372,PBS,IL-10,0.0008836136559050641,All age groups,parsebioscience,IL-10,CD4T
MEF2A,0.00017570801229751729,0.825142331558017,PBS,IL-10,0.0004983442762576136,All age groups,parsebioscience,IL-10,CD4T
MEF2C,0.0002340242942723513,0.5084175064010003,PBS,IL-10,0.0005810867382309705,All age groups,parsebioscience,IL-10,CD4T
MEF2D,0.0005396162366883228,0.7451202215523357,PBS,IL-10,0.0008156359945353978,All age groups,parsebioscience,IL-10,CD4T
MGA,0.00014725221975660788,0.903326578703524,PBS,IL-10,0.0004839524937982042,All age groups,parsebioscience,IL-10,CD4T
MLX,0.0004935414026292521,0.7680224578413603,PBS,IL-10,0.0007830274588835562,All age groups,parsebioscience,IL-10,CD4T
MLXIP,0.00013115543361834044,0.8110418005845093,PBS,IL-10,0.0004709189783256369,All age groups,parsebioscience,IL-10,CD4T
MNT,0.0004769904402686112,0.622577349248078,PBS,IL-10,0.0007789536961478183,All age groups,parsebioscience,IL-10,CD4T
MSANTD4,0.00012062889051908836,0.6201739452666134,PBS,IL-10,0.0004501778317623546,All age groups,parsebioscience,IL-10,CD4T
MTERF1,5.678566243521004e-05,0.6496769194653119,PBS,IL-10,0.0002965473482727635,All age groups,parsebioscience,IL-10,CD4T
MTERF2,4.884921418341854e-06,0.5748051088406576,PBS,IL-10,5.541859126325759e-05,All age groups,parsebioscience,IL-10,CD4T
MTERF3,0.00028959126455116153,0.4670963619645493,PBS,IL-10,0.0006437535543062983,All age groups,parsebioscience,IL-10,CD4T
MTERF4,0.00032211367098807593,0.7380132712577794,PBS,IL-10,0.0006750972254224363,All age groups,parsebioscience,IL-10,CD4T
MTF1,0.0005573510830963,0.6611326311537453,PBS,IL-10,0.000820699293094149,All age groups,parsebioscience,IL-10,CD4T
MTF2,0.00046191896753078804,0.7549822148132981,PBS,IL-10,0.0007636750769730114,All age groups,parsebioscience,IL-10,CD4T
MXD1,0.0012775549351632372,0.605601049514566,PBS,IL-10,0.0015396174859659524,All age groups,parsebioscience,IL-10,CD4T
MXD4,0.0172947772687473,0.4170836277477094,PBS,IL-10,0.018747880465956712,All age groups,parsebioscience,IL-10,CD4T
MXI1,8.077131048601699e-05,0.8037698731910207,PBS,IL-10,0.0003823562755381236,All age groups,parsebioscience,IL-10,CD4T
