gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
ZNF609,0.5957066540962082,-0.09710039975430629,healthy,SLE,0.6615357041806271,Older than 40,perez_sle,SLE,B
ZNF639,0.047761001206752335,0.138877030414872,healthy,SLE,0.08434389574809455,Older than 40,perez_sle,SLE,B
ZNF644,3.536599248899242e-05,1.2626648739206816,healthy,SLE,0.0002751916290549723,Older than 40,perez_sle,SLE,B
ZNF652,0.023087080318248274,0.3640432128129216,healthy,SLE,0.045265220466486775,Older than 40,perez_sle,SLE,B
ZNF669,0.13451800991549537,0.11854891501035869,healthy,SLE,0.20177701487324307,Older than 40,perez_sle,SLE,B
ZNF708,0.00013187510419994126,0.4529891319294652,healthy,SLE,0.0006701408356282729,Older than 40,perez_sle,SLE,B
ZNF791,4.88602353111471e-05,0.28433472662794657,healthy,SLE,0.0003578293703669302,Older than 40,perez_sle,SLE,B
ZNF800,5.985125126359514e-05,0.845979260721176,healthy,SLE,0.00041397115457319974,Older than 40,perez_sle,SLE,B
AHR,0.03596150751353091,-0.2912500653848493,healthy,SLE,0.09010135948445107,Both age groups,perez_sle,SLE,MONO
AKNA,3.7843332452465015e-05,-0.3712923099964254,healthy,SLE,0.000261463024217031,Both age groups,perez_sle,SLE,MONO
ARID3A,0.1576493813161426,0.22823652096381863,healthy,SLE,0.2549224038303582,Both age groups,perez_sle,SLE,MONO
ARID5A,0.6935516822038696,0.015227236526675014,healthy,SLE,0.7744676488787838,Both age groups,perez_sle,SLE,MONO
ASCL2,7.794396645966578e-08,0.615526288247592,healthy,SLE,8.462487787049428e-07,Both age groups,perez_sle,SLE,MONO
ASH1L,0.636441215150565,-0.16639042211051036,healthy,SLE,0.7255429852716441,Both age groups,perez_sle,SLE,MONO
ATF1,0.0703623182918736,0.22269896101197428,healthy,SLE,0.14854267194951096,Both age groups,perez_sle,SLE,MONO
ATF3,0.12270185674274534,-0.4387369075938601,healthy,SLE,0.22028364832555858,Both age groups,perez_sle,SLE,MONO
ATF4,0.00010331486021603676,-0.5010485321205511,healthy,SLE,0.0006454645838511022,Both age groups,perez_sle,SLE,MONO
ATF5,7.499563649723499e-23,0.8861801016737125,healthy,SLE,5.699668373789859e-21,Both age groups,perez_sle,SLE,MONO
ATF6,0.8994731059162143,-0.08011826812794554,healthy,SLE,0.927963204293651,Both age groups,perez_sle,SLE,MONO
ATF7,0.06197701983706109,0.162446553108899,healthy,SLE,0.13690144018655756,Both age groups,perez_sle,SLE,MONO
BACH1,0.41181316930982503,-0.5333529689709469,healthy,SLE,0.5245441486181012,Both age groups,perez_sle,SLE,MONO
BATF3,0.0002604393088478399,0.7776342176517694,healthy,SLE,0.0015626358530870393,Both age groups,perez_sle,SLE,MONO
BCL11A,0.1596265260148193,-0.053372328110825595,healthy,SLE,0.25630174599562533,Both age groups,perez_sle,SLE,MONO
BCL11B,1.1020440121542813e-16,-0.8283122161231251,healthy,SLE,3.5895147824453735e-15,Both age groups,perez_sle,SLE,MONO
BCL6,0.09915921663916527,-0.21186623192829313,healthy,SLE,0.18998572599772842,Both age groups,perez_sle,SLE,MONO
BHLHE40,0.13317423336446965,-0.33440600068868065,healthy,SLE,0.23329279389557428,Both age groups,perez_sle,SLE,MONO
CDC5L,0.1397819905251414,0.1100625730481104,healthy,SLE,0.23860254814741913,Both age groups,perez_sle,SLE,MONO
CEBPA,0.011382787331598039,0.4507944129735293,healthy,SLE,0.03604549321672713,Both age groups,perez_sle,SLE,MONO
CEBPB,0.0030690474588709452,0.5139392174170467,healthy,SLE,0.013456592704280299,Both age groups,perez_sle,SLE,MONO
CEBPD,0.9699690452495616,0.10234692986834837,healthy,SLE,0.9742420366383262,Both age groups,perez_sle,SLE,MONO
CEBPZ,2.6623089314108215e-05,0.19741113411441624,healthy,SLE,0.00020233547878722245,Both age groups,perez_sle,SLE,MONO
CREB1,0.09478191067337118,0.05393056351376124,healthy,SLE,0.18470321054297972,Both age groups,perez_sle,SLE,MONO
CREB3,0.057005242452715287,0.1567319552315718,healthy,SLE,0.13128480080019278,Both age groups,perez_sle,SLE,MONO
CREB5,0.6984993766123184,0.005893631631181506,healthy,SLE,0.7744676488787838,Both age groups,perez_sle,SLE,MONO
CREM,0.0703623182918736,-0.310602510347616,healthy,SLE,0.14854267194951096,Both age groups,perez_sle,SLE,MONO
CTCF,0.1576493813161426,0.24768644464418266,healthy,SLE,0.2549224038303582,Both age groups,perez_sle,SLE,MONO
CUX1,0.039989334316777495,0.46124338564958123,healthy,SLE,0.09910400243723119,Both age groups,perez_sle,SLE,MONO
DDIT3,0.41086052858641975,-0.12179715937507218,healthy,SLE,0.5245441486181012,Both age groups,perez_sle,SLE,MONO
DNMT1,0.010903346974100968,0.1983634422435987,healthy,SLE,0.03551375871564315,Both age groups,perez_sle,SLE,MONO
DR1,0.0035887759524399748,0.3010675034014785,healthy,SLE,0.015152609576968783,Both age groups,perez_sle,SLE,MONO
DRAP1,6.708033824377288e-05,1.2637493536921198,healthy,SLE,0.0004369804891308633,Both age groups,perez_sle,SLE,MONO
E2F1,0.4661969697366184,0.17618908200774896,healthy,SLE,0.5776788538040707,Both age groups,perez_sle,SLE,MONO
E2F4,0.018520913596161412,0.3405658392726334,healthy,SLE,0.05278460374906003,Both age groups,perez_sle,SLE,MONO
EEA1,0.003437939470540756,0.15268999513424575,healthy,SLE,0.014789626401571556,Both age groups,perez_sle,SLE,MONO
EGR1,0.007941670853601835,-0.5513978680639138,healthy,SLE,0.02829220241595654,Both age groups,perez_sle,SLE,MONO
EGR2,0.0023838832901637392,-0.42873211739097883,healthy,SLE,0.011092354901170052,Both age groups,perez_sle,SLE,MONO
EGR3,0.016460610815450503,-0.35352800555047104,healthy,SLE,0.04874050994704824,Both age groups,perez_sle,SLE,MONO
ELF1,0.20499345109821676,-0.03809516094804266,healthy,SLE,0.3223345300027133,Both age groups,perez_sle,SLE,MONO
