gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
NAXE,0.9876388525722172,-0.0008792349250904665,313,0.9956833008345604,healthy,aging,abf300,NK,0.164479798237905,0.184084664164794,0.7349823904532176,Inconsistent
GPATCH4,0.5357837177941391,-0.03512907590064256,313,0.7886157100288869,healthy,aging,abf300,NK,0.0025902645638734,0.0044159910767712,2.3549718128406654,Decrease in aging
ISG20L2,0.0038019701579239803,-0.1631419229104303,313,0.04663407540552702,healthy,aging,abf300,NK,1.28018000927021e-06,5.58984800550179e-06,5.252600000927404,Inconsistent
MRPL24,0.7595837657485547,0.017365868438084672,313,0.9087638814294,healthy,aging,abf300,NK,0.742979025031739,0.751184204767042,0.12425355260381218,Inconsistent
HDGF,0.33014592770224815,-0.05522249079490169,313,0.6315181866125316,healthy,aging,abf300,NK,2.76033131870887e-09,2.56123309690335e-08,7.591550894748221,Inconsistent
PRCC,0.7656085280096478,-0.01691744462272005,313,0.9120440766758606,healthy,aging,abf300,NK,0.000153568289568,0.0003689616050215,3.4330188251549507,Inconsistent
SH2D2A,0.0025827394941541687,0.16977278701490264,313,0.036087854986131276,healthy,aging,abf300,NK,2.9587271211536e-05,8.74719487432548e-05,4.05813119793999,Increase in aging
ETV3,0.0002508812564161422,-0.20556031044181508,313,0.008398891159585512,healthy,aging,abf300,NK,3.27291665381992e-05,9.53747012171502e-05,4.020566809560745,Inconsistent
FCRL3,0.584246809546225,0.031045879157028975,313,0.818576826547142,healthy,aging,abf300,NK,0.0063431746300615,0.0098066586667402,2.0084789406101367,Inconsistent
PYHIN1,0.08513476831054752,0.09747098163996,313,0.31440695781597205,healthy,aging,abf300,NK,0.0321125841708764,0.0418095342144166,1.3787246707474907,Inconsistent
IFI16,0.8921180993225423,0.007696633064204658,313,0.9611579376022675,healthy,aging,abf300,NK,0.0121947751893279,0.0175723767353038,1.7551694944398553,Inconsistent
DUSP23,0.24530832327976476,0.06586217290934238,313,0.5455080149373618,healthy,aging,abf300,NK,0.0057566006265733,0.0089909033954413,2.0461966686734945,Inconsistent
FCRL6,0.00038478719403569136,0.19945303347550325,313,0.011146548184672209,healthy,aging,abf300,NK,4.82913062373411e-16,2.1378394663425702e-14,13.67002490974425,Increase in aging
TAGLN2,0.03925049791040055,-0.11659453699418722,313,0.20071193579346608,healthy,aging,abf300,NK,0.116537598146442,0.134173344501867,0.8723337545513759,Inconsistent
IGSF8,0.3673358965588327,0.051125592705616625,313,0.6666148925889379,healthy,aging,abf300,NK,1.32709522297818e-05,4.34171176880235e-05,4.362339011230194,Increase in aging
DCAF8,0.775400098831839,0.01619088017999962,313,0.9174079813682806,healthy,aging,abf300,NK,2.63451407989814e-07,1.42294846026357e-06,5.846810829942767,Inconsistent
COPA,0.6540979375465983,0.025424412761526263,313,0.8572494798680884,healthy,aging,abf300,NK,7.00638345452395e-07,3.33790670561146e-06,5.476525806004393,Inconsistent
SLAMF6,0.7111045801999062,0.021016494125498365,313,0.8849006521361886,healthy,aging,abf300,NK,0.0007049240426519,0.0014121618403672,2.8501155282483115,Inconsistent
CD84,0.013796738267716203,-0.1390688401213544,313,0.10878541801564455,healthy,aging,abf300,NK,0.0040458284022124,0.0065595441007535,2.1831263437657076,Inconsistent
CD48,0.04391924218420324,-0.1139713164986257,313,0.2136460835067066,healthy,aging,abf300,NK,0.0003256435094266,0.0007149319733336,3.145735279893116,Inconsistent
SLAMF7,0.07403352710098396,0.10111925852525858,313,0.2907094435002497,healthy,aging,abf300,NK,7.96517111789884e-08,5.04063190675327e-07,6.297515015853394,Inconsistent
LY9,0.15274996418031628,-0.08101312095287591,313,0.42782340103863803,healthy,aging,abf300,NK,0.220981523777706,0.241658672130388,0.6167976152124778,Inconsistent
CD244,0.6037190982427671,-0.029450455320338773,313,0.8289234110537972,healthy,aging,abf300,NK,0.0003527296620456,0.0007676481908148,3.114837769283101,Inconsistent
F11R,0.5460376583611679,0.0342506272604886,313,0.7952809683439842,healthy,aging,abf300,NK,0.0127748919773977,0.0183122342463062,1.7372586648929542,Increase in aging
USF1,0.5556209987610803,0.033436959710213564,313,0.8010664155129541,healthy,aging,abf300,NK,0.0006351221771564,0.0012854554602506,2.890942966631,Inconsistent
ARHGAP30,0.9333980565689544,-0.004742622937431435,313,0.9788726778498991,healthy,aging,abf300,NK,1.04834122218973e-17,7.02260772376611e-16,15.153501590185712,Inconsistent
UFC1,0.36434243912736386,-0.05144542126029111,313,0.6634929742243462,healthy,aging,abf300,NK,0.0047451651634588,0.0075420116443516,2.1225128014088206,Inconsistent
B4GALT3,0.5081340753512056,0.037541103612174304,313,0.7711206061226982,healthy,aging,abf300,NK,0.0067424836285683,0.0103511633794651,1.9850108365946761,Inconsistent
NDUFS2,0.12187622332505618,0.08762088850321631,313,0.38255787448314466,healthy,aging,abf300,NK,4.64314284867067e-06,1.7105824056169e-05,4.766855999267489,Inconsistent
FCER1G,0.09592619846850227,0.09427504489533017,313,0.33695828674484124,healthy,aging,abf300,NK,1.07355259701549e-14,3.44855228971116e-13,12.46236318450443,Inconsistent
SDHC,0.04139606226107786,0.11535808841409007,313,0.20588397723637444,healthy,aging,abf300,NK,9.13251190882267e-05,0.0002338689413294,3.6310274502938227,Increase in aging
FCGR3A,0.00015673967766366995,0.21207921497880036,313,0.006230688208440485,healthy,aging,abf300,NK,2.2362148985974e-25,1.2283528437995499e-22,21.91067686438034,Increase in aging
FCGR2B,0.1771718090384222,0.07647328541311968,313,0.4634859331248938,healthy,aging,abf300,NK,0.0184815720668435,0.0254434274093162,1.5944243865498546,Increase in aging
ATF6,0.4025701626251549,0.0474755542187317,313,0.6948960715234845,healthy,aging,abf300,NK,0.0754911840995541,0.0901324952923289,1.0451186054486865,Inconsistent
SH2D1B,0.19033789022302647,0.07421666629928815,313,0.4812349815016723,healthy,aging,abf300,NK,0.000607691811031,0.00124091119628,2.9062592969424674,Inconsistent
UHMK1,0.08710739240147296,0.09686342482618422,313,0.31870453265410065,healthy,aging,abf300,NK,4.9300764905964e-09,4.23801410999156e-08,7.372837601688161,Inconsistent
UAP1,0.013348002076677891,0.13973062929506508,313,0.10643223910627789,healthy,aging,abf300,NK,1.50066571813764e-05,4.81774213309764e-05,4.317156449080268,Increase in aging
MGST3,1.630813626164827e-07,0.290764085835071,313,4.03700500367893e-05,healthy,aging,abf300,NK,2.21281179231232e-11,3.54372454086635e-10,9.45054004384795,Increase in aging
